award_title,years,finalist,winner,groups
Outstanding Unstructured Reality Program,2018 Awards,United Shades of America,Winner,"Jimmy Fox, (executive producer),, ,W. Kamau Bell, (executive producer),, ,Donny Jackson, (executive producer),, ,Greg Lipstone, (executive producer),, ,Layla Smith, (executive producer),, ,Amy Entelis, (executive producer),, ,Lizzie Fox, (executive producer),, ,Justin Yungfleisch, (co-executive producer),, ,David Berger, (supervising producer),, ,Geraldine Porras, (senior show producer)"
Outstanding Unstructured Reality Program,2018 Awards,Born This Way,,"Gil Goldschein,, ,Jonathan Murray,, ,Laura Korkoian,, ,Elaine Frontain Bryant,, ,Shelly Tatro,, ,Kasey Barrett,, ,Millee Taggart,, ,Jarrod Burt,, ,Jacob Lane,, ,Jeana Dill"
Outstanding Unstructured Reality Program,2018 Awards,Deadliest Catch,,"Thom Beers,, ,Sarah Whalen,, ,Ernie Avila,, ,Philip David Segal,, ,Decker Watson,, ,Arom Starr-Paul,, ,Geoff Miller,, ,Joseph Boyle"
Outstanding Unstructured Reality Program,2018 Awards,Intervention,,"Gary R. Benz,, ,Tom Greenhut,, ,Brad Holcman,, ,Shelly Tatro,, ,Elaine Frontain Bryant,, ,Peter Field,, ,P.J. Davenport,, ,Carl Swanson,, ,Karen Pinto,, ,Anneli Gericke,, ,Sami Abdou,, ,Lauren Meyer"
Outstanding Unstructured Reality Program,2018 Awards,Naked and Afraid,,"David Garfinkle,, ,Jay Renfroe,, ,Stephen Rankin,, ,Mathilde Bittner,, ,Denise Contis,, ,Joseph Boyle,, ,Michael Gara"
Outstanding Unstructured Reality Program,2018 Awards,RuPaul's Drag Race: Untucked!,,"Pamela Post,, ,Tim Palazzola,, ,Fenton Bailey,, ,Randy Barbato,, ,Tom Campbell,, ,RuPaul,, ,San Heng,, ,Steven Corfe,, ,Kenneth Leslie,, ,Thairin Smothers"
Outstanding Documentary or Nonfiction Special,2018 Awards,The Zen Diaries of Garry Shandling,Winner,"Judd Apatow, (executive producer),, ,Sheila Nevins, (executive producer),, ,Joe Beshenkovsky, (co-executive producer),, ,Michael Bonfiglio, (co-executive producer),, ,Sara Bernstein, (supervising producer),, ,Joshua Church, (supervising producer),, ,Sam Fishell, (producer),, ,Amanda Glaze, (producer)"
Outstanding Documentary or Nonfiction Special,2018 Awards,Icarus,,"Bryan Fogel, (produced by),, ,Dan Cogan, (produced by),, ,David Fialkow, (produced by),, ,Jim Swartz, (produced by)"
Outstanding Documentary or Nonfiction Special,2018 Awards,Jim & Andy: The Great Beyond,,"Shane Smith, (executive producer),, ,Eddy Moretti, (executive producer),, ,Nicole Montez, (executive producer),, ,Jim Carrey, (executive producer),, ,Michael Kronish, (executive producer),, ,Spike Jonze, (produced by),, ,Danny Gabai, (produced by),, ,Chris Smith, (produced by)"
Outstanding Documentary or Nonfiction Special,2018 Awards,Mister Rogers: It's You I Like,,"Ellen Doherty, (executive producer),, ,Kevin Morrison, (executive producer),, ,JoAnn Young, (produced by),, ,John Paulson, (produced by)"
Outstanding Documentary or Nonfiction Special,2018 Awards,Spielberg,,"Susan Lacy, (produced by),, ,Jessica Levin, (produced by),, ,Emma Pildes, (produced by)"
Outstanding Documentary or Nonfiction Series,2018 Awards,Wild Wild Country,Winner,"Mark Duplass, (executive producer),, ,Jay Duplass, (executive producer),, ,Josh Braun, (executive producer),, ,Dan Braun, (executive producer),, ,Juliana Lembi, (produced by),, ,Chapman Way, (producer),, ,Maclain Way, (producer)"
Outstanding Documentary or Nonfiction Series,2018 Awards,American Masters,,"Michael Kantor,, ,Chiz Schultz,, ,Junko Tsunashima,, ,Julie Sacks,, ,Tracy Heather Strain,, ,Randall MacLowry"
Outstanding Documentary or Nonfiction Series,2018 Awards,Blue Planet II,,"James Honeyborne,, ,Mark Brownlow,, ,Jonathan Smith"
Outstanding Documentary or Nonfiction Series,2018 Awards,The Defiant Ones,,"Doug Pray,, ,Allen Hughes"
Outstanding Documentary or Nonfiction Series,2018 Awards,The Fourth Estate,,"Vinnie Malhotra,, ,Dave Sirulnick,, ,Dan Cogan,, ,Lisa Diamond,, ,Liz Garbus,, ,Jenny Carchman,, ,Justin Wilkes"
Outstanding Informational Series or Special,2018 Awards,Anthony Bourdain: Parts Unknown,Winner,"Anthony Bourdain, (executive producer/host),, ,Christopher Collins, (executive producer),, ,Lydia Tenaglia, (executive producer),, ,Sandra Zweig, (executive producer),, ,Amy Entelis, (executive producer),, ,Lizzie Fox, (executive producer),, ,Morgan Fallon, (producer),, ,Tom Vitale, (producer),, ,Michael Steed, (producer)"
Outstanding Informational Series or Special,2018 Awards,Leah Remini: Scientology and the Aftermath,,"Leah Remini, (executive producer),, ,Eli Holzman, (executive producer),, ,Aaron Saidman, (executive producer),, ,Myles Reiff, (executive producer),, ,Elaine Frontain Bryant, (executive producer),, ,Amy Savitsky, (executive producer),, ,Devon Graham, (executive producer)"
Outstanding Informational Series or Special,2018 Awards,My Next Guest Needs No Introduction with David Letterman,,"Justin Wilkes, (executive producer),, ,Dave Sirulnick, (executive producer),, ,Jon Kamen, (executive producer),, ,Tom Keaney, (executive producer),, ,Louise Shelton, (supervising producer),, ,Aaron Bergeron, (series producer),, ,Mary Barclay, (producer)"
Outstanding Informational Series or Special,2018 Awards,StarTalk,,"Neil deGrasse Tyson, (executive producer/host),, ,Helen Matsos, (executive producer),, ,Brian Lovett, (executive producer),, ,Drew Pulley, (executive producer),, ,Betsy Forhan, (executive producer)"
Outstanding Informational Series or Special,2018 Awards,Vice,,"Michael Kenneth Williams, (executive producer),, ,Shane Smith, (executive producer),, ,Tim Clancy, (executive producer),, ,Jonah Kaplan, (executive producer),, ,Bill Maher, (executive producer),, ,Beverly Chase, (supervising producer),, ,David Schankula, (supervising producer),, ,Ben Anderson, (senior producer)"
Outstanding Animated Program,2018 Awards,Rick and Morty,Winner,"Dan Harmon, (executive producer),, ,Justin Roiland, (executive producer),, ,Delna Bhesania, (executive producer),, ,Barry Ward, (executive producer),, ,Keith Crofford, (executive producer),, ,Mike Lazzo, (executive producer),, ,Ryan Ridley, (co-executive producer),, ,Dan Guterman, (co-executive producer),, ,Mike McMahan, (supervising producer),, ,Tom Kauffman, (producer),, ,Ollie Green, (producer),, ,J. Michael Mendel, (produced by),, ,Jessica Gao, (written by),, ,Wesley Archer, (supervising director),, ,Anthony Chun, (director),, ,Nathan Litz, (animation director)"
Outstanding Animated Program,2018 Awards,Big Hero 6: The Series,,"Mark McCorkle, (executive producer),, ,Bob Schooley, (executive producer),, ,Nicholas Filippi, (executive producer/supervising director),, ,Sharon Flynn, (written by),, ,Paiman Kalayeh, (written by),, ,Stephen Heneveld, (directed by),, ,Ben Juwono, (directed by),, ,Jill Jacobs, (timing director),, ,Helen Roh, (timing director),, ,Jungja Wolf, (timing director)"
Outstanding Animated Program,2018 Awards,Bob's Burgers,,"Loren Bouchard, (executive producer),, ,Jim Dauterive, (executive producer),, ,Dan Fybel, (executive producer),, ,Rich Rinaldi, (executive producer),, ,Nora Smith, (executive producer),, ,Gregory Thompson, (executive producer),, ,Jon Schroeder, (executive producer),, ,Scott Jacobson, (co-executive producer),, ,Holly Schlesinger, (co-executive producer),, ,Lizzie Molyneux-Logelin, (co-executive producer/written by),, ,Wendy Molyneux, (co-executive producer/written by),, ,Steven Davis, (supervising producer),, ,Kelvin Yu, (supervising producer),, ,Janelle Momary, (supervising producer),, ,Scott D. Greenberg, (animation executive producer),, ,Michael Penketh, (animation producer),, ,Ian Hamilton, (director),, ,Bernard Derriman, (supervising director),, ,Tony Gennaro, (assistant supervising director)"
Outstanding Animated Program,2018 Awards,South Park,,"Trey Parker, (executive producer/directed by),, ,Matt Stone, (executive producer),, ,Anne Garefino, (executive producer),, ,Frank C. Agnone II, (executive producer),, ,Eric Stough, (producer),, ,Adrien Beard, (producer),, ,Bruce Howell, (producer),, ,Vernon Chatman, (producer),, ,Jack Shih, (animation producer),, ,Jenny Yu, (director of animation)"
Outstanding Animated Program,2018 Awards,The Simpsons,,"James L. Brooks, (executive producer),, ,Matt Groening, (executive producer),, ,Al Jean, (executive producer),, ,Matt Selman, (executive producer),, ,J. Stewart Burns, (co-executive producer),, ,Michael Price, (co-executive producer),, ,Bill Odenkirk, (co-executive producer),, ,Joel H. Cohen, (co-executive producer),, ,Rob LaZebnik, (co-executive producer),, ,Jeff Westbrook, (co-executive producer),, ,Brian Kelley, (co-executive producer),, ,Dan Vebber, (co-executive producer),, ,Ryan Koh, (co-executive producer),, ,Richard K. Chung, (producer),, ,Tom Klein, (animation producer),, ,Andrea Romero, (animation producer),, ,Mike B. Anderson, (supervising producer),, ,Eddie Rosas, (assistant Director),, ,Sam Im, (lead animation timer),, ,Rob Oliver, (directed by),, ,John Frink, (written by)"
Outstanding Short Form Animated Program,2018 Awards,Robot Chicken,Winner,"Seth Green, (executive producer/written by),, ,Matthew Senreich, (executive producer/written by),, ,John Harvatine IV, (executive producer),, ,Eric Towner, (executive producer),, ,Tom Root, (executive producer/head writer),, ,Douglas Goldstein, (executive producer/head writer),, ,Keith Crofford, (executive producer),, ,Mike Lazzo, (executive producer),, ,Margaret M. Dean, (supervising producer),, ,Ollie Green, (producer),, ,Nick Cron-DeVico, (written by),, ,Deirdre Devlin, (written by),, ,Mike Fasolo, (written by),, ,Tesha Kondrat, (written by),, ,Tom Sheppard, (written by/directed by),, ,Alex Kamer, (animation director),, ,Scott DaRos, (animation director),, ,Matt Sheldon, (animation director)"
Outstanding Short Form Animated Program,2018 Awards,Adventure Time,,"Pendleton Ward, (executive producer),, ,Fred Seibert, (executive producer),, ,Adam Muto, (executive producer),, ,Rob Sorcher, (executive producer),, ,Brian A. Miller, (executive producer),, ,Jennifer Pelphrey, (executive producer),, ,Curtis Lelash, (executive producer),, ,Kelly Crews, (supervising producer),, ,Tom Herpich, (written by),, ,Steve Wolfhard, (written by),, ,Kent Osborne, (story by),, ,Jack Pendarvis, (story by),, ,Julia Pott, (story by),, ,Ashly Burch, (story by),, ,Cole Sanchez, (supervising director),, ,Lindsey Pollard, (animation director),, ,Dong-kun Won, (animation director),, ,Maureen Mlynarczyk, (sheet timer),, ,Robert Alvarez, (sheet timer),, ,Michel Lyman, (sheet timer)"
Outstanding Short Form Animated Program,2018 Awards,Steven Universe,,"Rebecca Sugar, (executive producer/story by),, ,Rob Sorcher, (executive producer),, ,Brian A. Miller, (executive producer),, ,Jennifer Pelphrey, (executive producer),, ,Curtis Lelash, (executive producer),, ,Jackie Buscarino, (producer),, ,Jeff Liu, (written by),, ,Miki Brewster, (written by),, ,Matt Burnett, (story by),, ,Ben Levin, (story by),, ,Kat Morris, (story by),, ,Joseph D. Johnston, (supervising director),, ,Nick DeMayo, (animation director),, ,Ki-Yong Bae, (animation director),, ,Sue Hong Kim, (animation director),, ,Kimson Albert, (sheet timing),, ,Maureen Mlynarczyk, (sheet timing)"
Outstanding Short Form Animated Program,2018 Awards,Teen Titans Go!,,"Sam Register, (executive producer),, ,Aaron Horvath, (executive producer/written by),, ,Michael Jelenic, (executive producer/written by),, ,Peter Rida Michail, (producer),, ,Peggy Regan, (producer),, ,Ken McIntyre, (directed by),, ,Dave Stone, (directed by),, ,Luke Cormican, (supervising director),, ,Eric Pringle, (animation director)"
Outstanding Short Form Animated Program,2018 Awards,We Bare Bears,,"Daniel Chong, (executive producer),, ,Rob Sorcher, (executive producer),, ,Brian A. Miller, (executive producer),, ,Jennifer Pelphrey, (executive producer),, ,Curtis Lelash, (executive producer),, ,Carrie Wilksen, (producer),, ,Randy Myers, (supervising producer),, ,Sang Yup Lee, (written by),, ,Louie Zong, (written by),, ,Mikey Heller, (story by),, ,Manny Hernandez, (supervising director),, ,Robert Alvarez, (animation director),, ,Kevin Petrilak, (animation director),, ,Sechang Kwak, (animation director)"
Outstanding Actor in a Short Form Comedy or Drama Series,2018 Awards,James Corden,Winner,James Corden's Next James Corden
Outstanding Actor in a Short Form Comedy or Drama Series,2018 Awards,Alexis Denisof,,I Love Bekka & Lucy
Outstanding Actor in a Short Form Comedy or Drama Series,2018 Awards,DeStorm Power,,Caught the Series
Outstanding Actor in a Short Form Comedy or Drama Series,2018 Awards,Melvin Jackson Jr.,,"This Eddie Murphy Role is Mine, Not Yours"
Outstanding Actor in a Short Form Comedy or Drama Series,2018 Awards,Miles Tagtmeyer,,Broken
Outstanding Actress in a Short Form Comedy or Drama Series,2018 Awards,Christina Pickles,Winner,Break a Hip
Outstanding Actress in a Short Form Comedy or Drama Series,2018 Awards,Diarra Kilpatrick,,American Koko
Outstanding Actress in a Short Form Comedy or Drama Series,2018 Awards,Kelli O'Hara,,The Accidental Wolf
Outstanding Actress in a Short Form Comedy or Drama Series,2018 Awards,Lee Garlington,,Broken
Outstanding Actress in a Short Form Comedy or Drama Series,2018 Awards,Megan Amram,,An Emmy for Megan
Outstanding Actress in a Short Form Comedy or Drama Series,2018 Awards,Naomi Grossman,,ctrl alt delete
Outstanding Variety Special (Live),2018 Awards,Jesus Christ Superstar Live in Concert,Winner,"Tim Rice, (executive producer),, ,Andrew Lloyd Webber, (executive producer),, ,Marc Platt, (executive producer),, ,Craig Zadan, (executive producer),, ,Neil Meron, (executive producer),, ,John Legend, (executive producer),, ,Mike Jackson, (executive producer),, ,Ty Stiklorius, (executive producer),, ,Alex Rudzinski, (executive producer),, ,Javier Winnik, (co-executive producer)"
Outstanding Variety Special (Live),2018 Awards,75th Golden Globe Awards,,"Allen Shapiro, (executive producer),, ,Mike Mahan, (executive producer),, ,Barry Adelman, (executive producer),, ,Lorenzo Soria, (executive producer),, ,Jorge Camara, (executive producer),, ,Serge Rakhlin, (executive producer),, ,Meher Tatna, (executive producer),, ,Linda Gierahn, (supervising producer),, ,Seth Meyers, (host)"
Outstanding Variety Special (Live),2018 Awards,Night of Too Many Stars,,"Ricky Kirshner, (executive producer),, ,Glenn Weiss, (executive producer),, ,Robert Smigel, (executive producer),, ,Jon Stewart, (executive producer/host),, ,Chris McShane, (executive producer),, ,James Dixon, (co-executive producer),, ,Jesse Craine, (supervising producer),, ,Max Werner, (producer),, ,Michelle Saks Smigel, (executive producer)"
Outstanding Variety Special (Live),2018 Awards,The 60th Annual Grammy Awards,,"Ken Ehrlich, (executive producer),, ,Eric Cook, (supervising producer),, ,Ben Winston, (producer),, ,James Corden, (host)"
Outstanding Variety Special (Live),2018 Awards,The Oscars,,"Michael De Luca, (produced by),, ,Jennifer Todd, (produced by),, ,Rob Paine, (supervising producer),, ,Jimmy Kimmel, (host)"
Outstanding Variety Special (Pre-Recorded),2018 Awards,Dave Chappelle: Equanimity,Winner,"Rikki Hughes, (supervising producer),, ,Stan Lathan, (executive producer),, ,Dave Chappelle, (executive producer)"
Outstanding Variety Special (Pre-Recorded),2018 Awards,Full Frontal with Samantha Bee,,"Melinda Taub, (producer),, ,Christopher Savage, (producer),, ,Allana Harkin, (producer),, ,Kim Burdges, (producer),, ,Pat King, (executive producer),, ,Alison Camillo, (executive producer),, ,Miles Kahn, (executive producer),, ,Tony Hernandez, (executive producer),, ,Jason Jones, (executive producer),, ,Samantha Bee, (executive producer/host)"
Outstanding Variety Special (Pre-Recorded),2018 Awards,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,,"Neal Marshall, (produced by),, ,Marcus Raboy, (producer),, ,Erin David, (executive producer),, ,Marc Gurvitz, (executive producer),, ,Martin Short, (executive producer),, ,Steve Martin, (executive producer),, ,Lorne Michaels, (executive producer)"
Outstanding Variety Special (Pre-Recorded),2018 Awards,The Carol Burnett 50th Anniversary Special,,"Linda Gierahn, (supervising producer),, ,Ben Roy, (co-executive producer),, ,Leslie Kolins Small, (executive producer),, ,Paul Miller, (executive producer),, ,Mark Bracco, (executive producer),, ,Mike Mahan, (executive producer),, ,Allen Shapiro, (executive producer),, ,Steve Sauer, (executive producer),, ,Carol Burnett, (executive producer/host)"
Outstanding Variety Special (Pre-Recorded),2018 Awards,The Late Late Show Carpool Karaoke Primetime Special,,"Diana Miller, (producer),, ,James Corden, (producer/host),, ,Jeff Kopp, (supervising producer),, ,Matt Roberts, (supervising producer),, ,James Longman, (supervising producer),, ,Michael Kaplan, (supervising producer),, ,Sheila Rogers, (supervising producer),, ,Josie Cliff, (supervising producer),, ,Rob Crabbe, (executive producer),, ,Ben Winston, (executive producer)"
Exceptional Merit in Documentary Filmmaking,2018 Awards,Strong Island,Winner,"Joslyn Barnes, (produced by),, ,Yance Ford, (produced by)"
Exceptional Merit in Documentary Filmmaking,2018 Awards,City of Ghosts,,"Matthew Heineman, (produced by),, ,Alex Gibney, (executive producer),, ,Molly Thompson, (executive producer),, ,Stacey Offman, (executive producer)"
Exceptional Merit in Documentary Filmmaking,2018 Awards,Jane,,"Brett Morgen, (produced by),, ,Bryan Burk, (produced by),, ,James A. Smith, (produced by),, ,Tim Pastore, (executive producer),, ,Jeff Hasler, (executive producer)"
Exceptional Merit in Documentary Filmmaking,2018 Awards,What Haunts Us,,"Paige Goldberg Tolmach, (producer),, ,Sarah Gibson, (producer),, ,Frank Marshall, (executive producer),, ,Matt Tolmach, (executive producer)"
Outstanding Casting for a Comedy Series,2018 Awards,The Marvelous Mrs. Maisel,Winner,"Meredith Tucker, (original casting director),, ,Jeanie Bacharach, (original casting director),, ,Cindy Tolan, (casting director)"
Outstanding Casting for a Comedy Series,2018 Awards,Atlanta,,"Alexa L. Fogel, (casting director),, ,Tara Feldstein, (atlanta casting director),, ,Chase Paris, (atlanta casting director)"
Outstanding Casting for a Comedy Series,2018 Awards,Barry,,"Sharon Bialy, (casting director),, ,Sherry Thomas, (casting director)"
Outstanding Casting for a Comedy Series,2018 Awards,GLOW,,"Jennifer Euston, (casting director),, ,Elizabeth Barnes, (casting director)"
Outstanding Casting for a Comedy Series,2018 Awards,Silicon Valley,,"Jeanne McCarthy, (casting director),, ,Nicole Abellera, (casting director),, ,Leslie Woo, (casting director)"
Outstanding Casting for a Drama Series,2018 Awards,The Crown,Winner,"Nina Gold, (casting director),, ,Robert Sterne, (casting director)"
Outstanding Casting for a Drama Series,2018 Awards,Game of Thrones,,"Nina Gold, (casting director),, ,Robert Sterne, (casting director),, ,Carla Stronge, (location casting director)"
Outstanding Casting for a Drama Series,2018 Awards,Stranger Things,,"Carmen Cuba, (casting director),, ,Tara Feldstein, (location casting director),, ,Chase Paris, (location casting director)"
Outstanding Casting for a Drama Series,2018 Awards,The Handmaid's Tale,,"Sharon Bialy, (casting director),, ,Sherry Thomas, (casting director),, ,Russell Scott, (casting director),, ,Robin D. Cook, (canadian casting director)"
Outstanding Casting for a Drama Series,2018 Awards,Westworld,,"John Papsidera, (casting director)"
"Outstanding Casting for a Limited Series, Movie or Special",2018 Awards,American Crime Story,Winner,"Courtney Bright, (casting director),, ,Nicole Daniels, (casting director)"
"Outstanding Casting for a Limited Series, Movie or Special",2018 Awards,Godless,,"Ellen Lewis, (casting by),, ,Jo Edna Boldin, (location casting),, ,Rene Haynes, (Native American casting)"
"Outstanding Casting for a Limited Series, Movie or Special",2018 Awards,Jesus Christ Superstar Live in Concert,,"Bernard Telsey, (casting by),, ,Pat Goodwin, (casting by)"
"Outstanding Casting for a Limited Series, Movie or Special",2018 Awards,Patrick Melrose,,"Nina Gold, (casting by),, ,Martin Ware, (casting by)"
"Outstanding Casting for a Limited Series, Movie or Special",2018 Awards,The Looming Tower,,"Avy Kaufman, (casting by),, ,Leo Davis, (casting by),, ,Lissy Holm, (UK casting by),, ,Moonyeenn Lee, (South Africa casting)"
Outstanding Casting for a Reality Program,2018 Awards,Queer Eye,Winner,"Ally Capriotti Grant, (casting director),, ,Beyhan Oguz, (director of casting and talent),, ,Gretchen Palek, (svp of casting and talent),, ,Danielle Gervais, (vp of casting and talent)"
Outstanding Casting for a Reality Program,2018 Awards,Born This Way,,"Sasha Alpert, (supervising casting producer),, ,Megan Sleeper, (casting producer),, ,Caitlyn Conway, (senior casting coordinator)"
Outstanding Casting for a Reality Program,2018 Awards,Project Runway,,"Sasha Alpert, (casting producer),, ,Alissa Haight Carlton, (supervising casting director),, ,Jennifer DeMartino, (senior casting director),, ,Rebecca Snavely, (senior casting director)"
Outstanding Casting for a Reality Program,2018 Awards,RuPaul's Drag Race,,"Goloka Bolte, (casting director),, ,Ethan Petersen, (casting director)"
Outstanding Casting for a Reality Program,2018 Awards,The Voice,,"Michelle McNulty, (casting director),, ,Holly Dale, (casting director),, ,Courtney Burns, (casting director)"
Outstanding Character Voice-Over Performance,2018 Awards,Family Guy,Winner,Alex Borstein
Outstanding Character Voice-Over Performance,2018 Awards,American Dad!,,Seth MacFarlane
Outstanding Character Voice-Over Performance,2018 Awards,Family Guy,,Seth MacFarlane
Outstanding Character Voice-Over Performance,2018 Awards,Mickey Mouse,,Russi Taylor
Outstanding Character Voice-Over Performance,2018 Awards,The Simpsons,,Dan Castellaneta
Outstanding Children's Program,2018 Awards,The Magical Wand Chase: A Sesame Street Special,Winner,"Brown Johnson, (executive producer),, ,Ken Scarborough, (executive producer),, ,Jason Diamond, (executive producer),, ,Benjamin Lehmann, (supervising producer),, ,Mindy Fila, (producer),, ,Karyn Leibovich, (producer),, ,Stephanie Longardo, (producer),, ,Scott Gracheff, (producer)"
Outstanding Children's Program,2018 Awards,A Series of Unfortunate Events,,"Daniel Handler, (executive producer),, ,Neil Patrick Harris, (executive producer),, ,Rose Lam, (executive producer),, ,Barry Sonnenfeld, (executive producer),, ,John Weber, (executive producer)"
Outstanding Children's Program,2018 Awards,Alexa & Katie,,"Matthew Carlson, (executive producer),, ,Heather Wordham, (executive producer),, ,Gary Murphy, (co-executive producer),, ,Robert Heath, (produced by)"
Outstanding Children's Program,2018 Awards,Fuller House,,"Jeff Franklin, (executive producer),, ,Thomas L. Miller, (executive producer),, ,Robert L. Boyett, (executive producer),, ,Marsh McCall, (co-executive producer),, ,Bryan Behar, (co-executive producer),, ,Steve Baldikoski, (co-executive producer),, ,John Stamos, (producer),, ,Maria A. Brown, (co-executive producer)"
Outstanding Children's Program,2018 Awards,Star Wars Rebels,,"Simon Kinberg, (executive producer),, ,Dave Filoni, (executive producer),, ,Henry Gilroy, (co-executive producer),, ,Kiri Hart, (producer),, ,Carrie Beck, (producer),, ,Athena Yvette Portillo, (producer)"
Outstanding Choreography,2018 Awards,So You Think You Can Dance,Winner,Mandy Moore
Outstanding Choreography,2018 Awards,So You Think You Can Dance,,Al Blackstone
Outstanding Choreography,2018 Awards,So You Think You Can Dance,,Christopher Scott
Outstanding Choreography,2018 Awards,So You Think You Can Dance,,Travis Wall
Outstanding Choreography,2018 Awards,The Late Late Show with James Corden,,Chloe Arnold
Outstanding Cinematography for a Limited Series or Movie,2018 Awards,Genius,Winner,"Mathias Herndl, (director of photography)"
Outstanding Cinematography for a Limited Series or Movie,2018 Awards,Black Mirror,,"Stephan Pehrsson, (director of photography)"
Outstanding Cinematography for a Limited Series or Movie,2018 Awards,Fahrenheit 451,,Kramer Morgenthau
Outstanding Cinematography for a Limited Series or Movie,2018 Awards,Godless,,"Steven Meizler, (director of photography)"
Outstanding Cinematography for a Limited Series or Movie,2018 Awards,The Alienist: Angel of Darkness,,"P.J. Dillon, (director of photography)"
Outstanding Cinematography for a Limited Series or Movie,2018 Awards,Twin Peaks,,"Peter Deming, (director of photography)"
Outstanding Cinematography for a Multi-Camera Series,2018 Awards,Will & Grace,Winner,"Gary Baum, (director of photography)"
Outstanding Cinematography for a Multi-Camera Series,2018 Awards,Superior Donuts,,"Patti Lee, (director of photography)"
Outstanding Cinematography for a Multi-Camera Series,2018 Awards,The Ranch,,"Donald A. Morgan, (director of photography)"
Outstanding Cinematography for a Nonfiction Program,2018 Awards,Jane,Winner,"Ellen Kuras, (director of photography),, ,Hugo Van Lawick, (archival photography)"
Outstanding Cinematography for a Nonfiction Program,2018 Awards,Anthony Bourdain: Parts Unknown,,"Morgan Fallon, (director of photography),, ,Jerry Risius, (director of photography),, ,Tarik Hameedi, (director of photography)"
Outstanding Cinematography for a Nonfiction Program,2018 Awards,Blue Planet II,,"Ted Giffords, (photography),, ,Roger Munns, (photography)"
Outstanding Cinematography for a Nonfiction Program,2018 Awards,Blue Planet II,,"Gavin Thurston, (photography)"
Outstanding Cinematography for a Nonfiction Program,2018 Awards,Chef's Table,,"Adam Bricker, (director of photography)"
Outstanding Cinematography for a Reality Program,2018 Awards,Life Below Zero,Winner,"Danny Day,, ,John Griber,, ,Michael Cheeseman,, ,Simeon Houtman,, ,Terence Pratt,, ,Rob Gowler,, ,David Lovejoy,, ,Ben Mullin"
Outstanding Cinematography for a Reality Program,2018 Awards,Born This Way,,Bruce Ready
Outstanding Cinematography for a Reality Program,2018 Awards,Deadliest Catch,,"David Reichert,, ,Charlie Beck,, ,Kelvon Agee,, ,Ben Staley,, ,Joshua Thomas"
Outstanding Cinematography for a Reality Program,2018 Awards,Queer Eye,,Garrette Warner Rose
Outstanding Cinematography for a Reality Program,2018 Awards,RuPaul's Drag Race,,Michael Jacob Kerber
Outstanding Cinematography for a Reality Program,2018 Awards,The Amazing Race,,"Josh Gitersonke,, ,Alan Weeks,, ,Ryan Shaw,, ,David D'Angelo,, ,Petr Cikhart"
Outstanding Cinematography for a Single-Camera Series (Half-Hour),2018 Awards,Atlanta,Winner,"Christian Sprenger, (director of photography)"
Outstanding Cinematography for a Single-Camera Series (Half-Hour),2018 Awards,Barry,,"Paula Huidobro, (director of photography)"
Outstanding Cinematography for a Single-Camera Series (Half-Hour),2018 Awards,GLOW,,"Christian Sprenger, (director of photography)"
Outstanding Cinematography for a Single-Camera Series (Half-Hour),2018 Awards,Insecure,,"Patrick Cady, (director of photography)"
Outstanding Cinematography for a Single-Camera Series (Half-Hour),2018 Awards,Mozart in the Jungle,,"Tobias Datum, (director of photography)"
Outstanding Cinematography for a Single-Camera Series (Half-Hour),2018 Awards,The End of the F***ing World,,"Justin Brown, (director of photography)"
Outstanding Cinematography for a Single-Camera Series (One Hour),2018 Awards,The Crown,Winner,"Adriano Goldman, (director of photography)"
Outstanding Cinematography for a Single-Camera Series (One Hour),2018 Awards,Legion,,"Dana Gonzales, (director of photography)"
Outstanding Cinematography for a Single-Camera Series (One Hour),2018 Awards,Ozark,,"Ben Kutchins, (director of photography)"
Outstanding Cinematography for a Single-Camera Series (One Hour),2018 Awards,Stranger Things,,"Tim Ives, (director of photography)"
Outstanding Cinematography for a Single-Camera Series (One Hour),2018 Awards,The Handmaid's Tale,,"Colin Watkinson, (director of photography)"
Outstanding Cinematography for a Single-Camera Series (One Hour),2018 Awards,The Marvelous Mrs. Maisel,,"M. David Mullen, (director of photography)"
Outstanding Cinematography for a Single-Camera Series (One Hour),2018 Awards,Westworld,,"John Grillo, (director of photography)"
Outstanding Contemporary Costumes,2018 Awards,American Crime Story,Winner,"Lou Eyrich, (costume designer),, ,Allison Leach, (costume designer),, ,Rebecca Guzzi, (assistant costume designer),, ,Nora Phillips Pedersen, (costume supervisor)"
Outstanding Contemporary Costumes,2018 Awards,Black-ish,,"Michelle Cole, (costume designer),, ,Dolores Ybarra, (assistant costume designer),, ,Devon Patterson, (costume supervisor)"
Outstanding Contemporary Costumes,2018 Awards,Empire,,"Paolo Nieddu, (costume designer),, ,Jennifer Salim, (assistant costume designer),, ,Steffany Bernstein Pratt, (costume supervisor)"
Outstanding Contemporary Costumes,2018 Awards,Grace and Frankie,,"Allyson B. Fanger, (costume designer),, ,Heather Pain, (assistant costume designer),, ,Lori DeLapp, (costume supervisor)"
Outstanding Contemporary Costumes,2018 Awards,This Is Us,,"Hala Bahmet, (costume designer),, ,Elinor Bardach, (costume supervisor)"
"Outstanding Costumes for a Variety, Nonfiction or Reality Program",2018 Awards,RuPaul's Drag Race,Winner,"Zaldy, (costume designer)"
