award_title,years,finalist,winner,groups,url
Outstanding Interactive Program,2019 Awards,The Late Show with Stephen Colbert,,"Matt Simpson, (director, content & product synergy),, ,Ariel Dumas, (digital content producer),, ,Opus Moreschi, (head writer),, ,Chris Licht, (executive producer),, ,Stephen Colbert, (executive producer/host)",/title/tt3697842/?ref_=m_ev_nom
Outstanding Lighting Design/Lighting Direction for a Variety Series,2019 Awards,Saturday Night Live,Winner,"Rick McGuinness, (lighting director),, ,Geoff Amoral, (lighting director),, ,William McGuinness, (lighting director),, ,Trevor Brown, (lighting director),, ,Tim Stasse, (lighting director)",/title/tt0072562/?ref_=m_ev_nom
Outstanding Lighting Design/Lighting Direction for a Variety Series,2019 Awards,America's Got Talent,,"Noah Mitz, (lighting designer),, ,Michael Berger, (lighting director),, ,Will Gossett, (lighting director),, ,Ryan Tanker, (lighting director),, ,Matt Benson, (lighting director),, ,Andrew Webberley, (lighting director)",/title/tt0759364/?ref_=m_ev_nom
Outstanding Lighting Design/Lighting Direction for a Variety Series,2019 Awards,Dancing with the Stars,,"Simon Miles, (lighting designer),, ,Suzanne Sotelo, (lighting director),, ,Pete Radice, (lighting director),, ,Matt McAdam, (lighting director)",/title/tt0463398/?ref_=m_ev_nom
Outstanding Lighting Design/Lighting Direction for a Variety Series,2019 Awards,So You Think You Can Dance,,"Robert T. Barnhart, (lighting designer),, ,Patrick Boozer, (lighting director),, ,Pete Radice, (lighting director),, ,Madigan Stehly, (lighting director),, ,Matt Firestone, (lighting director)",/title/tt0472023/?ref_=m_ev_nom
Outstanding Lighting Design/Lighting Direction for a Variety Series,2019 Awards,The Voice,,"Oscar Dominguez, (lighting designer),, ,Daniel K. Boland, (lighting director),, ,Craig Housenick, (lighting director),, ,Ron Wirsgalla, (lighting director),, ,Johnny Bradley, (lighting director)",/title/tt1839337/?ref_=m_ev_nom
Outstanding Lighting Design/Lighting Direction for a Variety Special,2019 Awards,Rent: Live,Winner,"Alex Gurdon, (lighting designer),, ,Madigan Stehly, (lighting director),, ,Ben Green, (lighting director),, ,Ryan Tanker, (lighting director),, ,Patrick Brazil, (lighting director)",/title/tt6881910/?ref_=m_ev_nom
Outstanding Lighting Design/Lighting Direction for a Variety Special,2019 Awards,The 41st Annual Kennedy Center Honors,,"Robert A. Dickinson, (lighting designer),, ,Travis Hagenbuch, (lighting director),, ,Michael Berger, (lighting director),, ,Harry Sangmeister, (lighting director)",/title/tt9514932/?ref_=m_ev_nom
Outstanding Lighting Design/Lighting Direction for a Variety Special,2019 Awards,The 61st Annual Grammy Awards,,"Robert A. Dickinson, (lighting designer),, ,Noah Mitz, (lighting director),, ,Michael Berger, (lighting director),, ,Will Gossett, (lighting director),, ,Madigan Stehly, (lighting director),, ,Andy O'Reilly, (lighting director),, ,Patrick Boozer, (lighting director),, ,Ryan Tanker, (lighting director)",/title/tt9618532/?ref_=m_ev_nom
Outstanding Lighting Design/Lighting Direction for a Variety Special,2019 Awards,The 72nd Annual Tony Awards,,"Robert A. Dickinson, (lighting designer),, ,Noah Mitz, (lighting director),, ,Ed McCarthy, (lighting director),, ,Harry Sangmeister, (lighting director)",/title/tt8466734/?ref_=m_ev_nom
Outstanding Lighting Design/Lighting Direction for a Variety Special,2019 Awards,The Oscars,,"Robert A. Dickinson, (lighting designer),, ,Travis Hagenbuch, (lighting director),, ,Michael Berger, (lighting director),, ,Andy O'Reilly, (lighting director),, ,Patrick Boozer, (lighting director),, ,Ben Green, (lighting director)",/title/tt9168816/?ref_=m_ev_nom
Outstanding Main Title Design,2019 Awards,Game of Thrones,Winner,"Angus Wall, (creative director),, ,Kirk Shintani, (art director),, ,Shahana Khan, (lead compositor),, ,Ian Ruhfass, (3d lead),, ,Rustam Hasanov, (lead conceptual designer)",/title/tt0944947/?ref_=m_ev_nom
Outstanding Main Title Design,2019 Awards,Conversations with a Killer: The Ted Bundy Tapes,,"Lisa Bolan, (creative director),, ,Peter Murphy, (animator),, ,Alyssa Oh, (editor),, ,June Cho, (designer)",/title/tt9425132/?ref_=m_ev_nom
Outstanding Main Title Design,2019 Awards,Star Trek: Discovery,,"Ana Criado-Zahonero, (creative director),, ,Nader Husseini, (animator),, ,Francisco Sanchez de Cañete, (art director),, ,Zachary Kinney, (animator),, ,Christian Antolin, (designer),, ,Kyle Cooper, (creative director)",/title/tt5171438/?ref_=m_ev_nom
Outstanding Main Title Design,2019 Awards,True Detective,,"Patrick Clair, (creative director),, ,Nic Pizzolatto, (creative director),, ,Kyle Moore, (designer/compositor/art director/animator),, ,Victor Jory, (editor),, ,Raoul Marks, (designer/creative director),, ,Woosung Kang, (designer/compositor/art director/animator)",/title/tt2356777/?ref_=m_ev_nom
Outstanding Main Title Design,2019 Awards,Warrior,,"John Likens, (creative director),, ,Wesley Ebelhar, (art director),, ,Arisu Kashiwagi, (designer/art director)",/title/tt5743796/?ref_=m_ev_nom
Outstanding Makeup for a Limited Series or Movie (Non-Prosthetic),2019 Awards,Fosse/Verdon,Winner,"Debbie Zoller, (department head makeup artist),, ,Blair Aycock, (co-department head makeup artist),, ,David Presto, (key makeup artist),, ,Sherri Berman Laurence, (makeup artist),, ,Nicky Pattison Illum, (makeup artist),, ,Jackie Risotto, (personal makeup artist)",/title/tt8746478/?ref_=m_ev_nom
Outstanding Makeup for a Limited Series or Movie (Non-Prosthetic),2019 Awards,Chernobyl,,"Daniel Parker, (department head makeup artist),, ,Natasha Nikolic-Dunlop, (key makeup artist)",/title/tt7366338/?ref_=m_ev_nom
Outstanding Makeup for a Limited Series or Movie (Non-Prosthetic),2019 Awards,Deadwood: The Movie,,"Lana Horochowski, (department head makeup artist),, ,Maurine Burke, (key makeup artist),, ,Lesa Nielsen, (makeup artist),, ,Ron Pipes, (makeup artist),, ,Mary Kay Morse, (makeup artist)",/title/tt4943998/?ref_=m_ev_nom
Outstanding Makeup for a Limited Series or Movie (Non-Prosthetic),2019 Awards,Sharp Objects,,"Michelle Radow, (department head makeup artist),, ,Erin Rosenmann, (key makeup artist),, ,Kate Biscoe, (personal makeup artist),, ,Karen Toole-Rentrop, (makeup artist)",/title/tt2649356/?ref_=m_ev_nom
Outstanding Makeup for a Limited Series or Movie (Non-Prosthetic),2019 Awards,True Detective,,"John Blake, (department head makeup artist),, ,Francisco X. Pérez, (key makeup artist),, ,Debi Young, (personal makeup artist)",/title/tt2356777/?ref_=m_ev_nom
Outstanding Makeup for a Multi-Camera Series or Special (Non-Prosthetic),2019 Awards,Saturday Night Live,Winner,"Louie Zakarian, (department head makeup artist),, ,Amy Tagliamonti, (key makeup artist),, ,Jason Milani, (key makeup artist),, ,Rachel Pagani, (additional makeup artist),, ,Sarah Egan, (makeup artist),, ,Young Bek, (makeup artist)",/title/tt0072562/?ref_=m_ev_nom
Outstanding Makeup for a Multi-Camera Series or Special (Non-Prosthetic),2019 Awards,Dancing with the Stars,,"Zena Shteysel, (department head makeup artist),, ,Angela Moos, (key makeup artist),, ,Patti Ramsey Bortoli, (additional makeup artist),, ,Julie Socash, (additional makeup artist),, ,Alison Gladieux, (additional makeup artist),, ,Donna J. Bard, (additional makeup artist)",/title/tt0463398/?ref_=m_ev_nom
Outstanding Makeup for a Multi-Camera Series or Special (Non-Prosthetic),2019 Awards,Rent: Live,,"Zena Shteysel, (department head makeup artist),, ,Angela Moos, (key makeup artist),, ,Donna J. Bard, (additional makeup artist),, ,Julie Socash, (additional makeup artist),, ,Rocky Faulkner, (additional makeup artist),, ,Bruce Grayson, (additional makeup artist)",/title/tt6881910/?ref_=m_ev_nom
Outstanding Makeup for a Multi-Camera Series or Special (Non-Prosthetic),2019 Awards,RuPaul's Drag Race,,"Adam Burrell, (makeup artist),, ,Nicole Faulkner, (makeup artist),, ,Jen Fregozo, (makeup artist),, ,Natasha Marcelina, (makeup artist),, ,Karan Mitchell, (makeup artist)",/title/tt1353056/?ref_=m_ev_nom
Outstanding Makeup for a Multi-Camera Series or Special (Non-Prosthetic),2019 Awards,So You Think You Can Dance,,"Tonia Green, (department head makeup artist),, ,Danielle Lyn Saunders, (key makeup artist),, ,Alison Gladieux, (makeup artist),, ,Silvia Leczel, (key makeup artist),, ,Michelle Ramos, (makeup artist)",/title/tt0472023/?ref_=m_ev_nom
Outstanding Makeup for a Multi-Camera Series or Special (Non-Prosthetic),2019 Awards,The Voice,,"Darcy Gilmore,, ,Kristene Bernard,, ,Kathleen Karridene,, ,Gina Ghiglieri,, ,Nikki Carbonetta,, ,Erin Braus-Guth",/title/tt1839337/?ref_=m_ev_nom
Outstanding Makeup for a Single-Camera Series (Non-Prosthetic),2019 Awards,Game of Thrones,Winner,"Jane Walker, (department head makeup artist),, ,Kay Bilk, (makeup artist),, ,Marianna Kelleher, (makeup artist),, ,Nicola Matthews, (makeup artist),, ,Pamela Smyth, (makeup artist)",/title/tt0944947/?ref_=m_ev_nom
Outstanding Makeup for a Single-Camera Series (Non-Prosthetic),2019 Awards,American Horror Story,,"Eryn Krueger Mekash, (department head makeup artist),, ,Kim Ayers, (assistant department head makeup artist),, ,Michael Mekash, (key makeup artist),, ,Silvina Knight, (makeup artist),, ,Jamie Leigh DeVilla, (makeup artist)",/title/tt1844624/?ref_=m_ev_nom
Outstanding Makeup for a Single-Camera Series (Non-Prosthetic),2019 Awards,GLOW,,"Lana Horochowski, (department head makeup artist),, ,Maurine Burke, (key makeup artist),, ,Lesa Nielsen, (makeup artist),, ,Melissa Buell, (makeup artist),, ,Kristina Frisch, (makeup artist)",/title/tt5770786/?ref_=m_ev_nom
Outstanding Makeup for a Single-Camera Series (Non-Prosthetic),2019 Awards,Pose,,"Sherri Berman Laurence, (department head makeup artist),, ,Nicky Pattison Illum, (key makeup artist),, ,Christopher Milone, (makeup artist),, ,Deja Marie Smith, (makeup artist),, ,Lucy O'Reilly, (makeup artist),, ,Andrew Sotomayor, (makeup artist)",/title/tt7562112/?ref_=m_ev_nom
Outstanding Makeup for a Single-Camera Series (Non-Prosthetic),2019 Awards,The Marvelous Mrs. Maisel,,"Patricia Regan, (department head makeup artist),, ,Claus Lulla, (key makeup artist),, ,Joseph A. Campayno, (key makeup artist)",/title/tt5788792/?ref_=m_ev_nom
Outstanding Motion Design,2019 Awards,Patriot Act with Hasan Minhaj,Winner,"Michelle Higa Fox, (creative director),, ,Jorge Peschiera, (creative director),, ,Yussef Cole, (head of animation),, ,Brandon Sugiyama, (lead animator),, ,Paris London Glickman, (lead animator)",/title/tt8080054/?ref_=m_ev_nom
Outstanding Multi-Camera Picture Editing for a Comedy Series,2019 Awards,One Day at a Time,Winner,Patricia Barnett,/title/tt5339440/?ref_=m_ev_nom
Outstanding Multi-Camera Picture Editing for a Comedy Series,2019 Awards,Mom,,Joe Bella,/title/tt2660806/?ref_=m_ev_nom
Outstanding Multi-Camera Picture Editing for a Comedy Series,2019 Awards,The Big Bang Theory,,Peter Chakos,/title/tt0898266/?ref_=m_ev_nom
Outstanding Multi-Camera Picture Editing for a Comedy Series,2019 Awards,The Conners,,Brian Schnuckel,/title/tt8595140/?ref_=m_ev_nom
Outstanding Multi-Camera Picture Editing for a Comedy Series,2019 Awards,Will & Grace,,Peter D. Beyt,/title/tt0157246/?ref_=m_ev_nom
Outstanding Music Composition for a Documentary Series or Special (Original Dramatic Score),2019 Awards,Free Solo,Winner,"Marco Beltrami,, ,Brandon Roberts",/title/tt7775622/?ref_=m_ev_nom
Outstanding Music Composition for a Documentary Series or Special (Original Dramatic Score),2019 Awards,Game of Thrones: The Last Watch,,Hannah Peel,/title/tt10090796/?ref_=m_ev_nom
Outstanding Music Composition for a Documentary Series or Special (Original Dramatic Score),2019 Awards,Hostile Planet,,"Benjamin Wallfisch, (Music by)",/title/tt8390274/?ref_=m_ev_nom
Outstanding Music Composition for a Documentary Series or Special (Original Dramatic Score),2019 Awards,"Love, Gilda",,Miriam Cutler,/title/tt5424228/?ref_=m_ev_nom
Outstanding Music Composition for a Documentary Series or Special (Original Dramatic Score),2019 Awards,Our Planet,,Steven Price,/title/tt9253866/?ref_=m_ev_nom
Outstanding Music Composition for a Documentary Series or Special (Original Dramatic Score),2019 Awards,RBG,,Miriam Cutler,/title/tt7689964/?ref_=m_ev_nom
"Outstanding Music Composition for a Limited Series, Movie, or Special (Original Dramatic Score)",2019 Awards,Chernobyl,Winner,"Hildur Guðnadóttir, (music by)",/title/tt7366338/?ref_=m_ev_nom
"Outstanding Music Composition for a Limited Series, Movie, or Special (Original Dramatic Score)",2019 Awards,Escape at Dannemora,,"Edward Shearmur, (music by)",/title/tt6866266/?ref_=m_ev_nom
"Outstanding Music Composition for a Limited Series, Movie, or Special (Original Dramatic Score)",2019 Awards,Good Omens,,"David Arnold, (music by)",/title/tt1869454/?ref_=m_ev_nom
"Outstanding Music Composition for a Limited Series, Movie, or Special (Original Dramatic Score)",2019 Awards,True Detective,,"T Bone Burnett, (music by),, ,Keefus Ciancia, (music by)",/title/tt2356777/?ref_=m_ev_nom
"Outstanding Music Composition for a Limited Series, Movie, or Special (Original Dramatic Score)",2019 Awards,When They See Us,,"Kris Bowers, (music by)",/title/tt7137906/?ref_=m_ev_nom
Outstanding Music Composition for a Series (Original Dramatic Score),2019 Awards,Game of Thrones,Winner,Ramin Djawadi,/title/tt0944947/?ref_=m_ev_nom
Outstanding Music Composition for a Series (Original Dramatic Score),2019 Awards,Barry,,David Wingo,/title/tt5348176/?ref_=m_ev_nom
Outstanding Music Composition for a Series (Original Dramatic Score),2019 Awards,House of Cards,,Jeff Beal,/title/tt1856010/?ref_=m_ev_nom
Outstanding Music Composition for a Series (Original Dramatic Score),2019 Awards,The Handmaid's Tale,,Adam Taylor,/title/tt5834204/?ref_=m_ev_nom
Outstanding Music Composition for a Series (Original Dramatic Score),2019 Awards,This Is Us,,Siddhartha Khosla,/title/tt5555260/?ref_=m_ev_nom
Outstanding Music Direction,2019 Awards,Fosse/Verdon,Winner,Alex Lacamoire,/title/tt8746478/?ref_=m_ev_nom
Outstanding Music Direction,2019 Awards,Aretha! A Grammy Celebration for the Queen of Soul,,Rickey Minor,/title/tt9581760/?ref_=m_ev_nom
Outstanding Music Direction,2019 Awards,Homecoming: A Film by Beyoncé,,"Beyoncé,, ,Derek Dixie",/title/tt10147546/?ref_=m_ev_nom
Outstanding Music Direction,2019 Awards,Q 85: A Musical Celebration For Quincy Jones,,Greg Phillinganes,/title/tt9028896/?ref_=m_ev_nom
Outstanding Music Direction,2019 Awards,Saturday Night Live,,"Lenny Pickett,, ,Leon Pendarvis,, ,Eli Brueggemann",/title/tt0072562/?ref_=m_ev_nom
Outstanding Music Direction,2019 Awards,The Oscars,,Rickey Minor,/title/tt9168816/?ref_=m_ev_nom
Outstanding Music Supervision,2019 Awards,The Marvelous Mrs. Maisel,Winner,"Robin Urdang, (music supervisor),, ,Amy Sherman-Palladino, (music supervisor),, ,Daniel Palladino, (music supervisor)",/title/tt5788792/?ref_=m_ev_nom
Outstanding Music Supervision,2019 Awards,Better Call Saul,,"Thomas Golubic, (music supervisor)",/title/tt3032476/?ref_=m_ev_nom
Outstanding Music Supervision,2019 Awards,Fosse/Verdon,,"Steven Gizicki, (music supervisor)",/title/tt8746478/?ref_=m_ev_nom
Outstanding Music Supervision,2019 Awards,Quincy,,"Jasper Leak, (music supervisor)",/title/tt7440432/?ref_=m_ev_nom
Outstanding Music Supervision,2019 Awards,Russian Doll,,"Brienne Rose, (music supervisor)",/title/tt7520794/?ref_=m_ev_nom
Outstanding Narrator,2019 Awards,Our Planet,Winner,David Attenborough,/title/tt9253866/?ref_=m_ev_nom
Outstanding Narrator,2019 Awards,Queens of Mystery,,Juliet Stevenson,/title/tt8974594/?ref_=m_ev_nom
Outstanding Narrator,2019 Awards,Savage Kingdom,,Charles Dance,/title/tt6498784/?ref_=m_ev_nom
Outstanding Narrator,2019 Awards,The Flood,,Angela Bassett,/title/tt9154632/?ref_=m_ev_nom
Outstanding Narrator,2019 Awards,The Many Lives of Nick Buoniconti,,Liev Schreiber,/title/tt9377260/?ref_=m_ev_nom
Outstanding Narrator,2019 Awards,Wonders of Mexico,,Anthony Mendez,/title/tt8435158/?ref_=m_ev_nom
Outstanding Original Interactive Program,2019 Awards,,Winner,,
Outstanding Original Interactive Program,2019 Awards,Traveling While Black,,"Roger Ross Williams, (director/producer),, ,Bonnie Nelson Schwartz, (executive producer)",/title/tt10254868/?ref_=m_ev_nom
Outstanding Original Interactive Program,2019 Awards,You vs. Wild,,"Robert Buchta, (executive producer),, ,Bear Grylls, (executive producer),, ,Chris Grant, (executive producer),, ,Delbert Shoopman, (executive producer),, ,Ben Simms, (director)",/title/tt10044952/?ref_=m_ev_nom
Outstanding Original Main Title Theme Music,2019 Awards,Succession,Winner,Nicholas Britell,/title/tt7660850/?ref_=m_ev_nom
Outstanding Original Main Title Theme Music,2019 Awards,Castle Rock,,Thomas Newman,/title/tt6548228/?ref_=m_ev_nom
Outstanding Original Main Title Theme Music,2019 Awards,Crazy Ex-Girlfriend,,"Rachel Bloom,, ,Jack Dolgen,, ,Adam Schlesinger",/title/tt4094300/?ref_=m_ev_nom
Outstanding Original Main Title Theme Music,2019 Awards,Good Omens,,David Arnold,/title/tt1869454/?ref_=m_ev_nom
Outstanding Original Main Title Theme Music,2019 Awards,Our Planet,,Steven Price,/title/tt9253866/?ref_=m_ev_nom
Outstanding Original Music and Lyrics,2019 Awards,Crazy Ex-Girlfriend,Winner,"Adam Schlesinger, (music & lyrics by),, ,Rachel Bloom, (music & lyrics by),, ,Jack Dolgen, (lyrics by)",/title/tt4094300/?ref_=m_ev_nom
Outstanding Original Music and Lyrics,2019 Awards,Documentary Now!,,"Eli Bolin, (music by),, ,John Mulaney, (lyrics by),, ,Seth Meyers, (lyrics by)",/title/tt4677934/?ref_=m_ev_nom
Outstanding Original Music and Lyrics,2019 Awards,Flight of the Conchords: Live in London,,"Bret McKenzie, (music & lyrics by),, ,Jemaine Clement, (music & lyrics by)",/title/tt4978510/?ref_=m_ev_nom
Outstanding Original Music and Lyrics,2019 Awards,Saturday Night Live,,"Eli Brueggemann, (music by),, ,Bryan H. Tucker, (lyrics by),, ,Leslie Jones, (lyrics by)",/title/tt0072562/?ref_=m_ev_nom
Outstanding Original Music and Lyrics,2019 Awards,Song of Parkland,,"Mark Sonnenblick, (music by),, ,Molly Reichard, (lyrics by),, ,Ashley Paseltiner, (lyrics by)",/title/tt9701028/?ref_=m_ev_nom
Outstanding Original Music and Lyrics,2019 Awards,The 72nd Annual Tony Awards,,"Sara Bareilles, (music & lyrics by),, ,Josh Groban, (music & lyrics by),, ,Shaina Taub, (music & lyrics by)",/title/tt8466734/?ref_=m_ev_nom
Outstanding Period Costumes,2019 Awards,The Marvelous Mrs. Maisel,Winner,"Donna Zakowska, (costume designer),, ,Marina Reti, (assistant costume designer),, ,Tim McKelvey, (costume supervisor)",/title/tt5788792/?ref_=m_ev_nom
Outstanding Period Costumes,2019 Awards,Chernobyl,,"Odile Dicks-Mireaux, (costume designer),, ,Daiva Petrulyte, (assistant costume designer),, ,Holly McLean, (assistant costume designer),, ,Anna Munro, (costume supervisor),, ,Sylvie Ong, (costume supervisor)",/title/tt7366338/?ref_=m_ev_nom
Outstanding Period Costumes,2019 Awards,Fosse/Verdon,,"Melissa Toth, (costume designer),, ,Joseph La Corte, (costume designer),, ,Catherine Crabtree, (assistant costume designer),, ,Isabelle Simone, (assistant costume designer),, ,Kristin Isola, (assistant costume designer),, ,Virginia D. Patton, (costume supervisor)",/title/tt8746478/?ref_=m_ev_nom
Outstanding Period Costumes,2019 Awards,GLOW,,"Beth Morgan, (costume designer),, ,Alexandra Casey, (assistant costume designer),, ,Sharon Sampson, (costume supervisor)",/title/tt5770786/?ref_=m_ev_nom
Outstanding Period Costumes,2019 Awards,Pose,,"Lou Eyrich, (costume designer),, ,Analucia McGorty, (costume designer),, ,Amy Ritchings, (assistant costume designer),, ,Kevin Ritter, (costume supervisor)",/title/tt7562112/?ref_=m_ev_nom
Outstanding Picture Editing for Variety Programming,2019 Awards,Last Week Tonight with John Oliver,Winner,Ryan Barger,/title/tt3530232/?ref_=m_ev_nom
Outstanding Picture Editing for Variety Programming,2019 Awards,Carpool Karaoke: When Corden Met McCartney Live From Liverpool,,Tom Jarvis,/title/tt8814928/?ref_=m_ev_nom
Outstanding Picture Editing for Variety Programming,2019 Awards,Drunk History,,John Cason,/title/tt2712612/?ref_=m_ev_nom
Outstanding Picture Editing for Variety Programming,2019 Awards,Last Week Tonight with John Oliver,,Anthony Miale,/title/tt3530232/?ref_=m_ev_nom
Outstanding Picture Editing for Variety Programming,2019 Awards,Who Is America?,,"Vera Drew, (editor),, ,Eric Notarnicola, (editor),, ,Roger Nygard, (editor),, ,Mark Davies, (editor),, ,Matt Davis, (additional editor),, ,Jeremy Cohen, (additional editor)",/title/tt8679236/?ref_=m_ev_nom
Outstanding Picture Editing for a Nonfiction Program,2019 Awards,Free Solo,Winner,Bob Eisenhardt,/title/tt7775622/?ref_=m_ev_nom
Outstanding Picture Editing for a Nonfiction Program,2019 Awards,Anthony Bourdain: Parts Unknown,,Tom Patterson,/title/tt2845786/?ref_=m_ev_nom
Outstanding Picture Editing for a Nonfiction Program,2019 Awards,Leaving Neverland,,Jules Cornell,/title/tt9573980/?ref_=m_ev_nom
Outstanding Picture Editing for a Nonfiction Program,2019 Awards,RBG,,Carla Gutierrez,/title/tt7689964/?ref_=m_ev_nom
Outstanding Picture Editing for a Nonfiction Program,2019 Awards,Three Identical Strangers,,Michael Harte,/title/tt7664504/?ref_=m_ev_nom
Outstanding Picture Editing for a Structured Reality or Competition Program,2019 Awards,Queer Eye,Winner,"Joe DeShano, (film editor),, ,Matt Miller, (film editor),, ,Ryan Taylor, (film editor),, ,Carlos Gamarra, (film editor),, ,Iain Tibbles, (film editor),, ,Tony Zajkowski, (film editor)",/title/tt7259746/?ref_=m_ev_nom
Outstanding Picture Editing for a Structured Reality or Competition Program,2019 Awards,RuPaul's Drag Race All Stars,,"Myron Santos, (editor),, ,Molly Shock, (editor),, ,Ray Van Ness III, (editor),, ,Michael Hellwig, (editor),, ,Michael Lynn Deis, (editor),, ,Eileen Finklestein, (editor),, ,Steve Brown, (editor),, ,Malinda Zehner, (editor)",/title/tt2301351/?ref_=m_ev_nom
Outstanding Picture Editing for a Structured Reality or Competition Program,2019 Awards,Survivor,,"Frederick Hawthorne, (supervising editor),, ,Andrew Bolhuis, (editor),, ,Joubin Mortazavi, (editor),, ,Plowden Schumacher, (editor),, ,David Armstrong, (editor),, ,Evan Mediuch, (editor),, ,Jacob Teixeira, (editor)",/title/tt0239195/?ref_=m_ev_nom
Outstanding Picture Editing for a Structured Reality or Competition Program,2019 Awards,The Amazing Race,,"Christina Fontana, (editor),, ,Katherine Griffin, (editor),, ,Kellen Cruden, (editor),, ,Jay Gammill, (editor),, ,Jason Pedroza, (editor),, ,Josh Lowry, (editor),, ,Steve Mellon, (editor)",/title/tt0285335/?ref_=m_ev_nom
Outstanding Picture Editing for an Unstructured Reality Program,2019 Awards,United Shades of America,Winner,"Alessandro Soares, (editor)",/title/tt4515676/?ref_=m_ev_nom
Outstanding Picture Editing for an Unstructured Reality Program,2019 Awards,Born This Way,,"Jarrod Burt, (editor),, ,Jacob Lane, (editor),, ,Annie Ray, (editor),, ,Steven Miloszewski, (editor),, ,Malinda Zehner, (editor),, ,David Henry, (editor),, ,Stephanie Lyra, (editor),, ,Dana Martell, (editor),, ,David McIntosh, (editor),, ,Svein Mikkelsen, (editor),, ,Patrick Post, (editor),, ,Ryan Rambach, (editor),, ,Peggy Tachdjian, (editor),, ,Lisa Trulli, (editor),, ,Kjerstin Westbye, (editor),, ,Dan Zimmerman, (editor)",/title/tt5219042/?ref_=m_ev_nom
Outstanding Picture Editing for an Unstructured Reality Program,2019 Awards,Deadliest Catch,,"Ben Bulatao, (editor),, ,Rob Butler, (supervising editor),, ,Isaiah Camp, (supervising editor),, ,Nathen Araiza, (lead editor),, ,Greg Cornejo, (editor)",/title/tt0446809/?ref_=m_ev_nom
Outstanding Picture Editing for an Unstructured Reality Program,2019 Awards,Life Below Zero,,"Tony Diaz, (editor),, ,Matt Mercer, (editor),, ,Jennifer Nelson, (editor),, ,Eric Michael Schrader, (editor),, ,Michael Swingler, (editor)",/title/tt2964642/?ref_=m_ev_nom
Outstanding Picture Editing for an Unstructured Reality Program,2019 Awards,RuPaul's Drag Race: Untucked!,,"Kendra Pasker, (lead editor),, ,Shayna Casey, (editor),, ,Stavros Stavropoulos, (editor)",/title/tt1588754/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Contemporary Program (One Hour or More),2019 Awards,The Handmaid's Tale,Winner,"Elisabeth Williams, (production designer),, ,Martha Sparrow, (art director),, ,Rob Hepburn, (set decorator)",/title/tt5834204/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Contemporary Program (One Hour or More),2019 Awards,Escape at Dannemora,,"Mark Ricker, (production designer),, ,James F. Truesdale, (art director),, ,Cherish M. Hale, (set decorator)",/title/tt6866266/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Contemporary Program (One Hour or More),2019 Awards,Killing Eve,,"Laurence Dorman, (production designer),, ,Beckie Harvey, (art director),, ,Linda Wilson, (set decorator)",/title/tt7016936/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Contemporary Program (One Hour or More),2019 Awards,Ozark,,"Derek R. Hill, (production designer),, ,John Richardson, (art director),, ,Kim Leoleis, (set decorator)",/title/tt5071412/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Contemporary Program (One Hour or More),2019 Awards,The Umbrella Academy,,"Mark Worthington, (production designer),, ,Mark Steel, (art director),, ,Jim Lambie, (set decorator)",/title/tt1312171/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Period or Fantasy Program (One Hour or More),2019 Awards,Chernobyl,Winner,"Luke Hull,, ,Karen Wakefield,, ,Claire Levinson-Gendler",/title/tt7366338/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Period or Fantasy Program (One Hour or More),2019 Awards,A Series of Unfortunate Events,,"Bo Welch,, ,Don Macaulay,, ,Kate Marshall",/title/tt4834206/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Period or Fantasy Program (One Hour or More),2019 Awards,Fosse/Verdon,,"Alex DiGerlando,, ,Anu Schwartz,, ,Lydia Marks",/title/tt8746478/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Period or Fantasy Program (One Hour or More),2019 Awards,Game of Thrones,,"Deborah Riley,, ,Paul Ghirardani,, ,Rob Cameron",/title/tt0944947/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Period or Fantasy Program (One Hour or More),2019 Awards,The Man in the High Castle,,"Drew Boughton,, ,Dean A. O'Dell,, ,Jonathan Lancaster,, ,Lisa Lancaster",/title/tt1740299/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Period or Fantasy Program (One Hour or More),2019 Awards,The Marvelous Mrs. Maisel,,"Bill Groom,, ,Neil Prince,, ,Ellen Christiansen",/title/tt5788792/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Program (Half-Hour),2019 Awards,Russian Doll,Winner,"Michael Bricker, (production designer),, ,John Duhigg Cox, (art director),, ,Jessica Petruccelli, (set decorator)",/title/tt7520794/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Program (Half-Hour),2019 Awards,Veep,,"Jim Gloster, (production designer),, ,Andrew Leitch, (art director),, ,Kimberly Wannop, (set decorator),, ,David Smith, (set decorator)",/title/tt1759761/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Program (Half-Hour),2019 Awards,Will & Grace,,"Glenda Rovello, (production designer),, ,Conny Boettger-Marinos, (art director),, ,Peter M. Gurski, (set decorator)",/title/tt0157246/?ref_=m_ev_nom
