award_title,years,finalist,winner,groups,url
Outstanding Cinematography for a Single-Camera Series (Half-Hour),2020 Awards,Insecure,,Ava Berkofsky,
Outstanding Cinematography for a Single-Camera Series (Half-Hour),2020 Awards,Insecure,,Kira Kelly,
Outstanding Cinematography for a Single-Camera Series (Half-Hour),2020 Awards,The End of the F***ing World,,Benedict Spence,
Outstanding Cinematography for a Single-Camera Series (One Hour),2020 Awards,The Marvelous Mrs. Maisel,Winner,"M. David Mullen, (director of photography)",
Outstanding Cinematography for a Single-Camera Series (One Hour),2020 Awards,Mindhunter,,"Erik Messerschmidt, (director of photography)",
Outstanding Cinematography for a Single-Camera Series (One Hour),2020 Awards,Ozark,,"Ben Kutchins, (director of photography)",
Outstanding Cinematography for a Single-Camera Series (One Hour),2020 Awards,Ozark,,"Armando Salas, (director of photography)",
Outstanding Cinematography for a Single-Camera Series (One Hour),2020 Awards,Tales from the Loop,,"Jeff Cronenweth, (director of photography)",
Outstanding Cinematography for a Single-Camera Series (One Hour),2020 Awards,The Crown,,"Adriano Goldman, (director of photography)",
Outstanding Cinematography for a Single-Camera Series (One Hour),2020 Awards,Westworld,,"Paul Cameron, (director of photography)",
Outstanding Contemporary Costumes,2020 Awards,Schitt's Creek,Winner,"Debra Hanson, (costume designer),, ,Darci Cheyne, (assistant costume designer)",
Outstanding Contemporary Costumes,2020 Awards,Black-ish,,"Michelle Cole, (costume designer),, ,Juliann Smith DeVito, (costume supervisor)",
Outstanding Contemporary Costumes,2020 Awards,Euphoria,,"Heidi Bivens, (costume designer),, ,Danielle Baker, (costume supervisor),, ,Katina Danabassis, (assistant costume designer)",
Outstanding Contemporary Costumes,2020 Awards,Grace and Frankie,,"Allyson B. Fanger, (costume designer),, ,Kristine N. Haag, (assistant costume designer),, ,Lori DeLapp, (costume supervisor)",
Outstanding Contemporary Costumes,2020 Awards,Killing Eve,,"Sam Perry, (costume designer),, ,Katie Broome, (costume supervisor),, ,Justin Selway, (assistant costume designer)",
Outstanding Contemporary Costumes,2020 Awards,The Politician,,"Lou Eyrich, (supervising costume designer),, ,Claire Parkinson, (costume designer),, ,Lily Parkinson, (assistant costume designer),, ,Nora Phillips Pedersen, (costume supervisor)",
Outstanding Contemporary Costumes,2020 Awards,Unorthodox,,"Justine Seymour, (costume designer),, ,Simone Kreska, (costume supervisor),, ,Barbara Schramm, (costume supervisor)",
Outstanding Contemporary Hairstyling,2020 Awards,Black-ish,Winner,"Araxi Lindsey, (department head hairstylist),, ,Robert C. Mathews III, (additional hairstylist),, ,Enoch Williams, (key hairstylist)",
Outstanding Contemporary Hairstyling,2020 Awards,Grace and Frankie,,"Kelly Kline, (department head hairstylist),, ,Jonathan Hanousek, (key hairstylist),, ,Marlene D. Williams, (key hairstylist)",
Outstanding Contemporary Hairstyling,2020 Awards,Schitt's Creek,,"Annastasia Cucullo, (key hairstylist),, ,Ana Sorys, (personal hairstylist)",
Outstanding Contemporary Hairstyling,2020 Awards,The Handmaid's Tale,,"Paul R.J. Elliot, (department head hairstylist),, ,Ewa Latak-Cynk, (co-department head hairstylist)",
Outstanding Contemporary Hairstyling,2020 Awards,The Politician,,"Chris Clark, (department head hairstylist),, ,Natalie Driscoll, (assistant department head hairstylist),, ,Havana Prats, (hairstylist)",
Outstanding Contemporary Hairstyling,2020 Awards,This Is Us,,"Michael Reitz, (department head hairstylist),, ,Katherine Rees, (key hairstylist),, ,Germicka Barclay, (additional hairstylist),, ,Renia Green, (additional hairstylist),, ,Corey Hill, (additional hairstylist)",
"Outstanding Contemporary Hairstyling for a Variety, Nonfiction or Reality Program",2020 Awards,RuPaul's Drag Race,Winner,"Curtis Foreman, (department head hairstylist),, ,Ryan Randall, (hairstylist)",
"Outstanding Contemporary Hairstyling for a Variety, Nonfiction or Reality Program",2020 Awards,A Celebration of the Music from Coco,,"Jennifer Guerrero-Mazursky, (department head hairstylist),, ,Yvonne Depatis-Kupka, (key hairstylist),, ,Kimi Messina, (additional hairstylist),, ,Gail Rowell-Ryan, (additional hairstylist),, ,Amber Nicholle Maher, (hairstylist),, ,Yiotis Panayiotou, (hairstylist),, ,Megg Massey, (hairstylist)",
"Outstanding Contemporary Hairstyling for a Variety, Nonfiction or Reality Program",2020 Awards,Dancing with the Stars,,"Mary Guerrero, (department head hairstylist),, ,Kimi Messina, (key hairstylist),, ,Gail Rowell-Ryan, (hairstylist),, ,Cheryl Eckert, (hairstylist),, ,Jennifer Guerrero-Mazursky, (hairstylist),, ,Jani Kleinbard, (hairstylist),, ,Amber Nicholle Maher, (hairstylist),, ,Patricia Pineda, (hairstylist)",
"Outstanding Contemporary Hairstyling for a Variety, Nonfiction or Reality Program",2020 Awards,The Oscars,,"Anthony Wilson, (department head hairstylist),, ,Barbara Cantu, (key hairstylist),, ,Paula Ashby, (hairstylist),, ,Vickie Mynes, (hairstylist),, ,Yvonne Depatis-Kupka, (hairstylist),, ,Gail Rowell-Ryan, (hairstylist),, ,Iraina Crenshaw, (hairstylist),, ,Luke O'Connor, (hairstylist)",
"Outstanding Contemporary Hairstyling for a Variety, Nonfiction or Reality Program",2020 Awards,The Voice,,"Jerilynn Straitiff, (department head hairstylist),, ,Amber Nicholle Maher, (key hairstylist),, ,Regina Rodriguez, (hairstylist),, ,Renee Ferruggia, (hairstylist),, ,Darbie Wieczorek, (hairstylist),, ,Cory Rotenberg, (hairstylist),, ,Danilo Dixon, (personal hairstylist),, ,Robert Ramos, (personal hairstylist)",
Outstanding Contemporary Makeup (Non-Prosthetic),2020 Awards,Euphoria,Winner,"Doniella Davy, (department head makeup artist),, ,Kirsten Coleman, (assistant department head makeup artist),, ,Tara Lang, (makeup artist)",
Outstanding Contemporary Makeup (Non-Prosthetic),2020 Awards,Big Little Lies,,"Michelle Radow, (department head makeup artist),, ,Erin Rosenmann, (key makeup artist),, ,Karen Toole-Rentrop, (makeup artist),, ,Molly Stern, (personal makeup artist),, ,Angela Levin, (personal makeup artist),, ,Simone Almekias-Siegl, (personal makeup artist),, ,Miho Suzuki, (personal makeup artist),, ,Claudia Humburg, (personal makeup artist)",
Outstanding Contemporary Makeup (Non-Prosthetic),2020 Awards,Ozark,,"Tracy Ewell, (department head makeup artist),, ,Jillian Erickson, (key makeup artist),, ,Jack Lazzaro, (key makeup artist),, ,Susan Reilly LeHane, (personal makeup artist)",
Outstanding Contemporary Makeup (Non-Prosthetic),2020 Awards,Schitt's Creek,,"Candice Ornstein, (key makeup artist),, ,Lucky Bromhead, (personal makeup artist)",
Outstanding Contemporary Makeup (Non-Prosthetic),2020 Awards,The Handmaid's Tale,,"Burton J. LeBlanc, (department head makeup artist),, ,Alastair Muir, (key makeup artist)",
Outstanding Contemporary Makeup (Non-Prosthetic),2020 Awards,The Politician,,"Autumn Butler, (department head makeup artist),, ,Caitlin Martini, (assistant department head makeup artist),, ,Debra Schrey, (makeup artist),, ,Emma Johnston Burton, (makeup artist)",
"Outstanding Contemporary Makeup for a Variety, Nonfiction or Reality Program (Non-Prosthetic)",2020 Awards,RuPaul's Drag Race,Winner,"Natasha Marcelina, (department head makeup artist),, ,David Petruschin, (makeup artist),, ,Jen Fregozo, (makeup artist),, ,Nicole Faulkner, (makeup artist)",
"Outstanding Contemporary Makeup for a Variety, Nonfiction or Reality Program (Non-Prosthetic)",2020 Awards,Dancing with the Stars,,"Zena Shteysel, (department head makeup artist),, ,Angela Moos, (key makeup artist),, ,Patti Ramsey Bortoli, (additional makeup artist),, ,Sarah Woolf, (additional makeup artist),, ,Julie Socash, (additional makeup artist),, ,Alison Gladieux, (additional makeup artist),, ,Donna J. Bard, (additional makeup artist),, ,Nadege Schoenfeld, (additional makeup artist)",
"Outstanding Contemporary Makeup for a Variety, Nonfiction or Reality Program (Non-Prosthetic)",2020 Awards,The Little Mermaid Live!,,"Bruce Grayson, (department head makeup artist),, ,Angela Moos, (co-department head makeup artist),, ,Jennifer Aspinall, (key makeup artist),, ,Julie Socash, (makeup artist),, ,Valerie Hunt, (makeup artist),, ,Shutchai Tym Buacharern, (makeup artist),, ,Jennifer Turchi Nigh, (makeup artist),, ,Robin Beauchesne, (makeup artist)",
"Outstanding Contemporary Makeup for a Variety, Nonfiction or Reality Program (Non-Prosthetic)",2020 Awards,The Oscars,,"Bruce Grayson, (department head makeup artist),, ,Angela Moos, (assistant department head makeup artist),, ,Jill Cady, (key makeup artist),, ,Peter De Oliveira, (makeup artist),, ,Zena Shteysel, (makeup artist),, ,Jennifer Aspinall, (makeup artist),, ,James MacKinnon, (makeup artist),, ,Deborah Humphries, (makeup artist)",
"Outstanding Contemporary Makeup for a Variety, Nonfiction or Reality Program (Non-Prosthetic)",2020 Awards,The Voice,,"Darcy Gilmore, (department head makeup artist),, ,Kathleen Karridene, (makeup artist),, ,Alexis Walker, (makeup artist),, ,Nikki Carbonetta, (makeup artist),, ,Erin Braus-Guth, (makeup artist),, ,Gregory Arlt, (personal makeup artist),, ,Michelle DeMilt, (personal makeup artist),, ,Gloria Elias, (personal makeup artist)",
"Outstanding Costumes for a Variety, Nonfiction or Reality Program",2020 Awards,The Masked Singer,Winner,"Marina Toybina, (costume designer),, ,Grainne O'Sullivan, (costume supervisor),, ,Gabrielle Letamendi, (assistant costume designer),, ,Candice Rainwater, (assistant costume designer)",
"Outstanding Costumes for a Variety, Nonfiction or Reality Program",2020 Awards,Dancing with the Stars,,"Daniella Gschwendtner, (costume supervisor),, ,Steven Lee, (costume supervisor),, ,Howard Sussman, (costume supervisor),, ,Polina Roytman, (assistant costume designer),, ,Karina Torrico, (assistant costume designer)",
"Outstanding Costumes for a Variety, Nonfiction or Reality Program",2020 Awards,Drunk History,,"Christina Mongini, (costume designer),, ,Annalisa Adams, (assistant costume designer),, ,Cassandra Conners, (costume supervisor)",
"Outstanding Costumes for a Variety, Nonfiction or Reality Program",2020 Awards,RuPaul's Drag Race,,"Zaldy, (RuPaul's gowns by)",
"Outstanding Costumes for a Variety, Nonfiction or Reality Program",2020 Awards,Saturday Night Live,,"Tom Broecker, (costume designer),, ,Eric Justian, (costume designer),, ,Christina Natividad, (assistant costume designer),, ,Ashley Dudek, (assistant costume designer),, ,Karena Sanchez, (assistant costume designer),, ,Dale Richards, (costume supervisor)",
Outstanding Directing for a Documentary/Nonfiction Program,2020 Awards,American Factory,Winner,"Steven Bognar,, ,Julia Reichert",
Outstanding Directing for a Documentary/Nonfiction Program,2020 Awards,Apollo 11,,Todd Douglas Miller,
Outstanding Directing for a Documentary/Nonfiction Program,2020 Awards,Becoming,,Nadia Hallgren,
Outstanding Directing for a Documentary/Nonfiction Program,2020 Awards,The Cave,,Feras Fayyad,
Outstanding Directing for a Documentary/Nonfiction Program,2020 Awards,The Last Dance,,Jason Hehir,
Outstanding Directing for a Documentary/Nonfiction Program,2020 Awards,Tiger King,,"Eric Goode,, ,Rebecca Chaiklin",
Outstanding Directing for a Reality Program,2020 Awards,Cheer,Winner,Greg Whiteley,
Outstanding Directing for a Reality Program,2020 Awards,Lego Masters,,Rich Kim,
Outstanding Directing for a Reality Program,2020 Awards,Queer Eye,,Hisham Abed,
Outstanding Directing for a Reality Program,2020 Awards,RuPaul's Drag Race,,Nick Murray,
Outstanding Directing for a Reality Program,2020 Awards,Top Chef,,Ariel Boles,
Outstanding Directing for a Variety Series,2020 Awards,Saturday Night Live,Winner,Don Roy King,
Outstanding Directing for a Variety Series,2020 Awards,A Black Lady Sketch Show,,Dime Davis,
Outstanding Directing for a Variety Series,2020 Awards,Last Week Tonight with John Oliver,,"Paul Pennolino,, ,Christopher Werner",
Outstanding Directing for a Variety Series,2020 Awards,The Daily Show,,David Paul Meyer,
Outstanding Directing for a Variety Series,2020 Awards,The Late Show with Stephen Colbert,,Jim Hoskinson,
Outstanding Directing for a Variety Series,2020 Awards,Tiffany Haddish Presents: They Ready,,Linda Mendoza,
Outstanding Directing for a Variety Special,2020 Awards,Dave Chappelle: Sticks & Stones,Winner,Stan Lathan,
Outstanding Directing for a Variety Special,2020 Awards,Live in Front of a Studio Audience: 'All in the Family' and 'Good Times',,"Pamela Fryman,, ,Andy Fisher",
Outstanding Directing for a Variety Special,2020 Awards,Super Bowl LIV Halftime Show Starring Jennifer Lopez & Shakira,,Hamish Hamilton,
Outstanding Directing for a Variety Special,2020 Awards,The 62nd Annual Grammy Awards,,Louis J. Horvitz,
Outstanding Directing for a Variety Special,2020 Awards,The 73rd Annual Tony Awards,,Glenn Weiss,
Outstanding Documentary or Nonfiction Special,2020 Awards,The Apollo,Winner,"Lisa Cortes,, ,Jeanne Elfant Festa,, ,Cassidy Hartmann,, ,Roger Ross Williams,, ,Dan Cogan,, ,Nicholas Ferrall,, ,Julie Goldman",
Outstanding Documentary or Nonfiction Special,2020 Awards,Beastie Boys Story,,"Jason Baum, (producer),, ,Amanda Adelson, (producer),, ,Spike Jonze, (producer),, ,Mike D, (executive producer),, ,Adam Horovitz, (executive producer),, ,Dechen Wangdu, (executive producer),, ,John Silva, (executive producer)",
Outstanding Documentary or Nonfiction Special,2020 Awards,Becoming,,"Lauren Cioffi,, ,Katy Chevigny,, ,Marilyn Ness,, ,Priya Swaminathan,, ,Tonia Davis",
Outstanding Documentary or Nonfiction Special,2020 Awards,Laurel Canyon,,"Erin Edeiken,, ,Ryan Suffern,, ,Frank Marshall,, ,Alex Gibney,, ,Stacey Offman,, ,Richard Perello,, ,Jeffrey Pollack",
Outstanding Documentary or Nonfiction Special,2020 Awards,The Great Hack,,"Judy Korin,, ,Pedro Kos,, ,Karim Amer,, ,Geralyn White Dreyfous,, ,Nina Fialkow,, ,Lyn Davis Lear,, ,Mike Lerner",
Outstanding Fantasy/Sci-Fi Costumes,2020 Awards,Watchmen,Winner,"Sharen Davis, (costume designer),, ,Valerie Zielonka, (costume supervisor)",
Outstanding Fantasy/Sci-Fi Costumes,2020 Awards,Carnival Row,,"Joanna Eatwell, (costume designer),, ,Clare Vyse, (assistant costume designer),, ,Jennifer Lander, (costume supervisor)",
Outstanding Fantasy/Sci-Fi Costumes,2020 Awards,The Handmaid's Tale,,"Natalie Bronfman, (costume designer),, ,Helena Davis Perry, (costume supervisor),, ,Christina Cattle, (assistant costume designer)",
Outstanding Fantasy/Sci-Fi Costumes,2020 Awards,The Mandalorian,,"Joseph A. Porro, (costume designer),, ,Julie-Marie Robar, (costume supervisor),, ,Giovanna Ottobre-Melton, (assistant costume designer),, ,Lauren Silvestri, (assistant costume designer)",
Outstanding Fantasy/Sci-Fi Costumes,2020 Awards,Westworld,,"Shay Cunliffe, (costume designer),, ,Dan Bronson, (costume supervisor),, ,Amanda Riley, (assistant costume designer),, ,Jo Kissack, (associate costume designer),, ,Giorgia Tramontano, (assistant costume designer)",
Outstanding Hosted Nonfiction Series or Special,2020 Awards,"Leah Remini,Eli Holzman,Aaron Saidman,Ray Dotch,Devon Graham,Chris Rowe,Mike Rinder",Winner,Leah Remini: Scientology and the Aftermath,
Outstanding Hosted Nonfiction Series or Special,2020 Awards,"Beverly Chase,Subrata De,Craig Thomson,Greg Wright",,Vice,
Outstanding Hosted Nonfiction Series or Special,2020 Awards,"Jeff Goldblum,Jane Root,Peter Lovering,Keith Addis,Matt Renner,Arif Nurmohamed,John Hodgson",,The World According to Jeff Goldblum,
Outstanding Hosted Nonfiction Series or Special,2020 Awards,"Jerry Seinfeld,Tammy Johnston,George Shapiro,Denis Jensen",,Comedians in Cars Getting Coffee,
Outstanding Hosted Nonfiction Series or Special,2020 Awards,"Morgan Neville,Dara Horenblas,David Chang,Christopher C. Chen,Caryn Capotosto,Blake Davis,Chris Ying",,Ugly Delicious,
Outstanding Individual Achievement in Animation,2020 Awards,Archer,Winner,"Jill Dykxhoorn, (lead background artist)",
Outstanding Individual Achievement in Animation,2020 Awards,Cosmos: Possible Worlds,Winner,"Dan MacKenzie, (character animator)",
Outstanding Individual Achievement in Animation,2020 Awards,Primal,Winner,"Stephen DeStefano, (character designer)",
Outstanding Individual Achievement in Animation,2020 Awards,Primal,Winner,"Scott Wills, (art director)",
Outstanding Individual Achievement in Animation,2020 Awards,Primal,Winner,"Genndy Tartakovsky, (storyboard artist)",
Outstanding Innovation in Interactive Programming,2020 Awards,Create Together,Winner,"Sam Wasserman, (executive producer),, ,Joseph Gordon-Levitt, (executive producer)",
Outstanding Innovation in Interactive Programming,2020 Awards,The Line,Winner,"Ricardo Laganaro, (director),, ,Ricardo Justus, (executive producer),, ,Edouard de Montmort, (executive producer)",
Outstanding Interactive Extension of a Linear Program,2020 Awards,Mr. Robot,Winner,"Roxanne Paredes, (producer),, ,Jeff McKibben, (writer)",
Outstanding Interactive Extension of a Linear Program,2020 Awards,Stranger Things,,,
Outstanding Interactive Extension of a Linear Program,2020 Awards,Westworld,,,
Outstanding Lighting Design/Lighting Direction for a Variety Series,2020 Awards,Saturday Night Live,Winner,"Geoff Amoral, (lighting director),, ,Rick McGuinness, (lighting director),, ,William McGuinness, (lighting director),, ,Tim Stasse, (lighting director),, ,Trevor Brown, (lighting director)",
Outstanding Lighting Design/Lighting Direction for a Variety Series,2020 Awards,America's Got Talent,,"Noah Mitz, (lighting designer),, ,Michael Berger, (lighting director),, ,Will Gossett, (lighting director),, ,Ryan Tanker, (lighting director),, ,Matt Benson, (lighting director),, ,Scott Chmielewski, (lighting director),, ,Patrick Brazil, (lighting director)",
Outstanding Lighting Design/Lighting Direction for a Variety Series,2020 Awards,Jimmy Kimmel Live!,,"Christian Hibbard, (lighting designer),, ,William L. Peets, (lighting director),, ,Kille Knobel, (lighting director),, ,James Worman, (lighting director)",
Outstanding Lighting Design/Lighting Direction for a Variety Series,2020 Awards,So You Think You Can Dance,,"Robert T. Barnhart, (lighting designer),, ,Matt Firestone, (lighting director),, ,Madigan Stehly, (lighting director),, ,Patrick Boozer, (lighting director),, ,Pete Radice, (lighting director)",
Outstanding Lighting Design/Lighting Direction for a Variety Series,2020 Awards,The Voice,,"Oscar Dominguez, (lighting designer),, ,Daniel K. Boland, (lighting director),, ,Craig Housenick, (lighting director),, ,Samuel Barker, (lighting director),, ,Johnny Bradley, (lighting director)",
Outstanding Lighting Design/Lighting Direction for a Variety Special,2020 Awards,Super Bowl LIV Halftime Show Starring Jennifer Lopez & Shakira,Winner,"Robert T. Barnhart, (lighting designer),, ,David Grill, (lighting director),, ,Pete Radice, (lighting director),, ,Patrick Brazil, (lighting director),, ,Jason Rudolph, (lighting director)",
Outstanding Lighting Design/Lighting Direction for a Variety Special,2020 Awards,The 42nd Annual Kennedy Center Honors,,"Robert A. Dickinson, (lighting designer),, ,Michael Berger, (lighting director),, ,Will Gossett, (lighting director),, ,Bryan Klunder, (lighting director),, ,Harry Sangmeister, (lighting director),, ,Jason Rudolph, (lighting director)",
Outstanding Lighting Design/Lighting Direction for a Variety Special,2020 Awards,The 62nd Annual Grammy Awards,,"Robert A. Dickinson, (lighting designer),, ,Noah Mitz, (lighting director),, ,Andy O'Reilly, (lighting director),, ,Patrick Boozer, (lighting director),, ,Madigan Stehly, (lighting director),, ,Will Gossett, (lighting director),, ,Ryan Tanker, (lighting director),, ,Matthew Cotter, (lighting director)",
Outstanding Lighting Design/Lighting Direction for a Variety Special,2020 Awards,The 73rd Annual Tony Awards,,"Robert A. Dickinson, (lighting designer),, ,Noah Mitz, (lighting director),, ,Ed McCarthy, (lighting director),, ,Harry Sangmeister, (lighting director),, ,Jason Rudolph, (lighting director)",
Outstanding Lighting Design/Lighting Direction for a Variety Special,2020 Awards,The Oscars,,"Robert A. Dickinson, (lighting designer),, ,Noah Mitz, (lighting director),, ,Michael Berger, (lighting director),, ,Andy O'Reilly, (lighting director),, ,Patrick Boozer, (lighting director),, ,Ben Green, (lighting director),, ,Jason Rudolph, (lighting director)",
Outstanding Main Title Design,2020 Awards,Godfather of Harlem,Winner,"Mason Nicoll, (creative director/editor),, ,Peter Pak, (designer/lead animator/art director),, ,Giovana Pham, (designer),, ,Cisco Torres, (animator)",
Outstanding Main Title Design,2020 Awards,Abstract: The Art of Design,,"Allie Fisher, (creative director),, ,Anthony Zazzi, (animator),, ,Brian Oakes, (director)",
Outstanding Main Title Design,2020 Awards,Carnival Row,,"Lisa Bolan, (creative director),, ,Henry DeLeon, (art director),, ,Mert Kizilay, (art director),, ,Kaya Thomas, (designer),, ,Yongsub Song, (animator/compositor),, ,Alex Silver, (animator)",
Outstanding Main Title Design,2020 Awards,The Morning Show,,"Angus Wall, (creative director),, ,Hazel Baird, (creative director),, ,Emanuele Marani, (lead designer),, ,Ej Kang, (lead animator),, ,Peter Murphy, (animator),, ,Erik Righetti, (animator)",
Outstanding Main Title Design,2020 Awards,The Politician,,"Heidi Berg, (creative director),, ,Felix Soletic, (creative director),, ,Carlo Sa, (lead designer),, ,Yongsub Song, (lead animator),, ,Jose Paniagua, (3d artist),, ,Rachel Fowler, (editor)",
Outstanding Main Title Design,2020 Awards,Watchmen,,"Paul Mitchell, (creative director),, ,Olga Midlenko, (art director),, ,Maciek Sokalski, (lead compositor),, ,Gabe Perez, (animator),, ,Benjamin Woodlock, (designer)",
Outstanding Main Title Design,2020 Awards,Westworld,,"Patrick Clair, (creative director),, ,Pinar Yanardag Delul, (creative director),, ,Raoul Marks, (lead animator/compositor),, ,Lance Ashton Slaton, (designer)",
Outstanding Motion Design,2020 Awards,Inside Bill's Brain: Decoding Bill Gates,Winner,"Leanne Dare, (creative director),, ,Eben McCue, (animator),, ,Sebastian Hoppe-Fuentes, (animator),, ,David Navas, (animator)",
Outstanding Multi-Camera Picture Editing for a Comedy Series,2020 Awards,One Day at a Time,Winner,Cheryl Campsmith,
Outstanding Multi-Camera Picture Editing for a Comedy Series,2020 Awards,The Conners,,Brian Schnuckel,
Outstanding Multi-Camera Picture Editing for a Comedy Series,2020 Awards,Will & Grace,,Peter D. Beyt,
Outstanding Multi-Camera Picture Editing for a Comedy Series,2020 Awards,Will & Grace,,Joseph Fulton,
Outstanding Music Composition for a Documentary Series or Special (Original Dramatic Score),2020 Awards,Why We Hate,Winner,"Laura Karpman, (composer)",
Outstanding Music Composition for a Documentary Series or Special (Original Dramatic Score),2020 Awards,Becoming,,"Kamasi Washington, (composer)",
Outstanding Music Composition for a Documentary Series or Special (Original Dramatic Score),2020 Awards,Home,,"Amanda Jones, (composer)",
Outstanding Music Composition for a Documentary Series or Special (Original Dramatic Score),2020 Awards,McMillions,,"Pinar Toprak, (composer),, ,Alex Kovacs, (composer)",
Outstanding Music Composition for a Documentary Series or Special (Original Dramatic Score),2020 Awards,Tiger King,,"Mark Mothersbaugh, (composer),, ,John Enroth, (composer),, ,Albert Fox, (composer)",
"Outstanding Music Composition for a Limited Series, Movie or Special (Original Dramatic Score)",2020 Awards,Watchmen,Winner,"Trent Reznor, (music by),, ,Atticus Ross, (music by)",
"Outstanding Music Composition for a Limited Series, Movie or Special (Original Dramatic Score)",2020 Awards,Hollywood,,"Nathan Barr, (composer)",
"Outstanding Music Composition for a Limited Series, Movie or Special (Original Dramatic Score)",2020 Awards,Little Fires Everywhere,,"Mark Isham, (composer),, ,Isabella Summers, (composer)",
"Outstanding Music Composition for a Limited Series, Movie or Special (Original Dramatic Score)",2020 Awards,Mrs. America,,"Kris Bowers, (score by)",
"Outstanding Music Composition for a Limited Series, Movie or Special (Original Dramatic Score)",2020 Awards,Unorthodox,,"Antonio Gambale, (composer)",
Outstanding Music Composition for a Series (Original Dramatic Score),2020 Awards,The Mandalorian,Winner,Ludwig Göransson,
Outstanding Music Composition for a Series (Original Dramatic Score),2020 Awards,Euphoria,,Labrinth,
Outstanding Music Composition for a Series (Original Dramatic Score),2020 Awards,Ozark,,"Danny Bensi,, ,Saunder Jurriaans",
Outstanding Music Composition for a Series (Original Dramatic Score),2020 Awards,Succession,,Nicholas Britell,
Outstanding Music Composition for a Series (Original Dramatic Score),2020 Awards,The Crown,,Martin Phipps,
Outstanding Music Direction,2020 Awards,The 42nd Annual Kennedy Center Honors,Winner,Rickey Minor,
Outstanding Music Direction,2020 Awards,Let's Go Crazy: The Grammy Salute to Prince,,"Sheila E.,, ,Jimmy Jam,, ,Terry Lewis",
Outstanding Music Direction,2020 Awards,Saturday Night Live,,"Lenny Pickett,, ,Eli Brueggemann,, ,Leon Pendarvis",
Outstanding Music Direction,2020 Awards,Super Bowl LIV Halftime Show Starring Jennifer Lopez & Shakira,,Adam Blackstone,
Outstanding Music Direction,2020 Awards,The Oscars,,Rickey Minor,
Outstanding Music Supervision,2020 Awards,The Marvelous Mrs. Maisel,Winner,"Robin Urdang,, ,Amy Sherman-Palladino,, ,Daniel Palladino",
Outstanding Music Supervision,2020 Awards,Better Call Saul,,Thomas Golubic,
Outstanding Music Supervision,2020 Awards,Euphoria,,"Jen Malone,, ,Adam Leber",
Outstanding Music Supervision,2020 Awards,Insecure,,Kier Lehman,
Outstanding Music Supervision,2020 Awards,Killing Eve,,"Catherine Grieves,, ,David Holmes",
Outstanding Music Supervision,2020 Awards,Stranger Things,,Nora Felder,
Outstanding Music Supervision,2020 Awards,Watchmen,,Liza Richardson,
Outstanding Narrator,2020 Awards,Seven Worlds One Planet,Winner,David Attenborough,
Outstanding Narrator,2020 Awards,Black Patriots,,Kareem Abdul-Jabbar,
Outstanding Narrator,2020 Awards,Serengeti,,Lupita Nyong'o,
Outstanding Narrator,2020 Awards,The Elephant Queen,,Chiwetel Ejiofor,
Outstanding Narrator,2020 Awards,The Imagineering Story,,Angela Bassett,
Outstanding Original Interactive Program,2020 Awards,"Brie Larson,Van Jones,Elijah Allan-Blitz,Jana Carter",Winner,,
Outstanding Original Main Title Theme Music,2020 Awards,Hollywood,Winner,Nathan Barr,
Outstanding Original Main Title Theme Music,2020 Awards,Carnival Row,,Nathan Barr,
Outstanding Original Main Title Theme Music,2020 Awards,Defending Jacob,,Ólafur Arnalds,
Outstanding Original Main Title Theme Music,2020 Awards,Unorthodox,,Antonio Gambale,
Outstanding Original Main Title Theme Music,2020 Awards,Why We Hate,,Laura Karpman,
Outstanding Original Main Title Theme Music,2020 Awards,Wu-Tang: An American Saga,,RZA,
Outstanding Original Music and Lyrics,2020 Awards,Euphoria,Winner,"Labrinth, (music & lyrics)",
Outstanding Original Music and Lyrics,2020 Awards,Last Week Tonight with John Oliver,,"David Dabbon, (lyrics by),, ,Joanna Rothkopf, (lyrics by),, ,Jill Twiss, (lyrics by),, ,Seena Vali, (lyrics by)",
Outstanding Original Music and Lyrics,2020 Awards,Little Fires Everywhere,,"Ingrid Michaelson, (music & lyrics)",
Outstanding Original Music and Lyrics,2020 Awards,The Black Godfather,,"Pharrell Williams, (music & lyrics),, ,Chad Hugo, (music & lyrics)",
Outstanding Original Music and Lyrics,2020 Awards,The Marvelous Mrs. Maisel,,"Thomas Mizer, (music & lyrics),, ,Curtis Moore, (music & lyrics)",
Outstanding Original Music and Lyrics,2020 Awards,This Is Us,,"Siddhartha Khosla, (music & lyrics),, ,Taylor Goldsmith, (music & lyrics)",
Outstanding Original Music and Lyrics,2020 Awards,Watchmen,,"Trent Reznor, (music & lyrics),, ,Atticus Ross, (music & lyrics)",
Outstanding Period Costumes,2020 Awards,The Crown,Winner,"Amy Roberts, (costume designer),, ,Sidonie Roberts, (assistant costume designer),, ,Sarah Moore, (costume supervisor)",
Outstanding Period Costumes,2020 Awards,Hollywood,,"Lou Eyrich, (costume designer),, ,Sarah Evelyn, (costume designer),, ,Tiger Curran, (assistant costume designer),, ,Suzy Freeman, (costume supervisor)",
Outstanding Period Costumes,2020 Awards,Mrs. America,,"Bina Daigeler, (costume designer),, ,Erin Byrne, (assistant costume designer),, ,Mila Hermanovski, (assistant costume designer),, ,Eileen Kennedy, (assistant costume designer),, ,Sheryl Willock, (assistant costume designer),, ,Bettina Seifert, (costume supervisor),, ,Erika Larner, (costume supervisor)",
