award_title,years,finalist,winner,groups
"Outstanding Lighting Direction (Electronic, Multicamera) for VMC Programming",2001 Awards,Timeless: Live in Concert,,"Peter Morse, (lighting designer),, ,Robert A. Dickinson, (lighting director)"
Outstanding Made for Television Movie,2001 Awards,Wit,Winner,"Mike Nichols, (executive producer),, ,Cary Brokaw, (executive producer),, ,Simon Bosanquet, (producer)"
Outstanding Made for Television Movie,2001 Awards,61*,,"Billy Crystal, (executive producer),, ,Ross Greenburg, (executive producer),, ,Robert F. Colesberry, (producer)"
Outstanding Made for Television Movie,2001 Awards,Conspiracy,,"Frank Doelger, (executive producer),, ,Frank Pierson, (executive producer),, ,David M. Thompson, (executive producer),, ,Peter Zinner, (executive producer),, ,Nick Gillott, (producer)"
Outstanding Made for Television Movie,2001 Awards,For Love or Country: The Arturo Sandoval Story,,"Andy Garcia, (executive producer),, ,Jellybean Benítez, (executive producer),, ,Celia D. Costas, (producer)"
Outstanding Made for Television Movie,2001 Awards,Laughter on the 23rd Floor,,"Neil Simon, (executive producer),, ,Emanuel Azenberg, (executive producer),, ,Jeffrey Lampert, (producer)"
Outstanding Main Title Design,2001 Awards,Masterpiece Classic,Winner,"Karin Fong, (title designer),, ,Dana Yee, (title designer),, ,Grant Lau, (title designer)"
Outstanding Main Title Design,2001 Awards,AudioFile,,"C. Ryan Riccio, (title designer),, ,Mike Goedecke, (title designer)"
Outstanding Main Title Design,2001 Awards,MADtv,,"Steve Kirklys, (title designer),, ,Adam Byrd, (title designer)"
Outstanding Main Title Design,2001 Awards,Norm,,"Clark, (title designer),, ,Wilfred Wong, (title designer),, ,Ricardo Silva, (graphic artist),, ,Quico Encinias, (graphic artist)"
Outstanding Main Title Design,2001 Awards,The Wonderful World of Disney,,"Michael Goode, (title designer),, ,Michael Goetz, (title designer),, ,Kevin Goetz, (title designer)"
Outstanding Main Title Theme Music,2001 Awards,Gideon's Crossing,Winner,"James Newton Howard, (composer)"
Outstanding Main Title Theme Music,2001 Awards,Big Apple,,"Marc Bonilla, (composer)"
Outstanding Main Title Theme Music,2001 Awards,Soul Food,,"Kenneth 'Babyface' Edmonds, (composer),, ,Al Green, (composer)"
Outstanding Main Title Theme Music,2001 Awards,Survivor,,"Russ Landau, (composer)"
Outstanding Main Title Theme Music,2001 Awards,Thoroughbred,,"Michael Josephs, (composer)"
"Outstanding Makeup for a Miniseries, Movie or a Special",2001 Awards,Life with Judy Garland: Me and My Shadows,Winner,"Pamela Roth, (makeup artist for Judy Davis & Tammy Blanchard),, ,Debi Drennan, (key makeup artist),, ,Kevin Haney, (special effects makeup artist)"
"Outstanding Makeup for a Miniseries, Movie or a Special",2001 Awards,61*,,"Peter Montagna, (key makeup artist),, ,Patricia Bunch, (makeup artist),, ,Mark Landon, (makeup artist)"
"Outstanding Makeup for a Miniseries, Movie or a Special",2001 Awards,Hornblower: Mutiny,,"Veyatie MacLeod, (makeup designer),, ,Suzan Broad, (makeup artist)"
"Outstanding Makeup for a Miniseries, Movie or a Special",2001 Awards,Jackie Bouvier Kennedy Onassis,,"Nicole Lapierre, (key makeup artist),, ,Leonard Engelman, (key makeup artist for 'jackie')"
"Outstanding Makeup for a Miniseries, Movie or a Special",2001 Awards,Voyage of the Unicorn,,"Pearl Louie, (key makeup artist),, ,Toby Lindala, (special makeup effects hod),, ,Lance Webb, (makeup effects designer),, ,Felix Fox, (character sculptor and applicator),, ,Shane Zander, (prosthetic artist),, ,Vince Yoshida, (prosthetic artist),, ,Patrick Baxter, (prosthetic artist),, ,J.P. Mass, (prosthetic artist),, ,Jason Palmer, (makeup effects artist),, ,Wade Daily, (makeup effects artist),, ,Dan Sheehan, (makeup effects artist)"
Outstanding Makeup for a Series,2001 Awards,The Sopranos,Winner,"Kymbra Callaghan, (key makeup artist),, ,Stephen Kelley, (makeup artist)"
Outstanding Makeup for a Series,2001 Awards,The X-Files,Winner,"Cheri Montesanto, (department head make-up artist),, ,Matthew W. Mungle, (special makeup artist),, ,Laverne Munroe, (makeup artist),, ,Clinton Wayne, (makeup artist),, ,Robin L. Neal, (makeup artist)"
Outstanding Makeup for a Series,2001 Awards,MADtv,,"Jennifer Aspinall, (makeup artist),, ,Felicia Linsky, (makeup artist),, ,Stephanie L. Massie, (makeup artist),, ,Darrell McIntyre, (makeup artist),, ,Randy Westgate, (makeup artist),, ,Julie Purcell, (makeup artist),, ,Ed French, (makeup artist),, ,Susan A. Cabral, (makeup artist),, ,Myke Michaels, (makeup artist)"
Outstanding Makeup for a Series,2001 Awards,Sex and the City,,"Judy Chin, (key makeup artist),, ,Marjorie Durand, (makeup artist),, ,Nicki Ledermann, (makeup artist)"
Outstanding Makeup for a Series,2001 Awards,Star Trek: Voyager,,"Michael Westmore, (makeup artist),, ,Tina Hoffman, (makeup artist),, ,Scott Wheeler, (makeup artist),, ,James Rohland, (makeup artist),, ,Suzanne Diaz, (makeup artist),, ,Natalie Wood, (makeup artist),, ,Ellis Burman Jr., (makeup artist),, ,Jeff Lewis, (makeup aritst),, ,Brad Look, (makeup artist),, ,Belinda Bryant, (makeup artist),, ,Joe Podnar, (makeup artist),, ,David Quashnick, (makeup artist),, ,Karen Westerfield, (makeup artist),, ,Earl Ellis, (makeup artist)"
Outstanding Miniseries,2001 Awards,Anne Frank: The Whole Story,Winner,"Hans Proppe, (executive producer),, ,David R. Kappes, (produced by)"
Outstanding Miniseries,2001 Awards,Further Tales of the City,,"Suzanne Girard, (executive producer),, ,Alan Poul, (executive producer),, ,Tim Bevan, (executive producer),, ,Luc Châtelain, (executive producer),, ,Armistead Maupin, (executive producer)"
Outstanding Miniseries,2001 Awards,Hornblower: Mutiny,,"Delia Fine, (executive producer),, ,Michele Buck, (executive producer),, ,Andrew Benson, (producer)"
Outstanding Miniseries,2001 Awards,Life with Judy Garland: Me and My Shadows,,"Peter Alan Sussman, (executive producer),, ,Ed Gernon, (executive producer),, ,Craig Zadan, (executive producer),, ,Neil Meron, (executive producer),, ,Robert Allan Ackerman, (co-executive producer),, ,Lorna Luft, (co-executive producer),, ,Kirk Ellis, (co-executive producer),, ,Philip von Alvensleben, (supervising producer),, ,John Ryan, (producer),, ,Robert L. Freedman, (producer)"
Outstanding Miniseries,2001 Awards,Nuremberg,,"Peter Alan Sussman, (executive producer),, ,Suzanne Girard, (executive producer),, ,Jonathan Cornick, (executive producer),, ,Alec Baldwin, (executive producer),, ,Gerald W. Abrams, (executive producer),, ,Ian McDougall, (producer),, ,Mychèle Boudrias, (producer)"
"Outstanding Multi-Camera Picture Editing for a Miniseries, Movie or a Special",2001 Awards,Bruce Springsteen and the E Street Band: Live in New York City,Winner,"Thom Zimny, (editor)"
"Outstanding Multi-Camera Picture Editing for a Miniseries, Movie or a Special",2001 Awards,Elton John: One Night Only - Greatest Hits Live,,"Booey Kober, (editor),, ,Tim Kelly, (editor),, ,Dave Gardener, (editor)"
"Outstanding Multi-Camera Picture Editing for a Miniseries, Movie or a Special",2001 Awards,Hendrix,,"Nancy Richardson, (editor)"
"Outstanding Multi-Camera Picture Editing for a Miniseries, Movie or a Special",2001 Awards,The 73rd Annual Academy Awards,,"Douglass M. Stewart Jr., (editor),, ,Brian Derby, (editor),, ,Barry A. O'Brien, (editor),, ,Alexandra Komisaruk, (editor),, ,Michael J. Shapiro, (editor),, ,Maureen Nolan, (editor),, ,Chuck Workman, (editor),, ,Jon Bloom, (editor),, ,Glenn Erickson, (editor),, ,June Beallor, (editor),, ,Maura Corey, (editor),, ,Matthew Sharp, (editor),, ,Michael Polito, (editor),, ,Yoram Tal, (editor),, ,Jeff Roe, (editor),, ,Mark Leiss, (editor)"
"Outstanding Multi-Camera Picture Editing for a Miniseries, Movie or a Special",2001 Awards,Timeless: Live in Concert,,"Michael Polito, (editor)"
Outstanding Multi-Camera Picture Editing for a Series,2001 Awards,Frasier,Winner,"Ron Volk, (editor)"
Outstanding Multi-Camera Picture Editing for a Series,2001 Awards,Everybody Loves Raymond,,"Patricia Barnett, (editor)"
Outstanding Multi-Camera Picture Editing for a Series,2001 Awards,Spin City,,"Noel Rogers, (editor)"
Outstanding Multi-Camera Picture Editing for a Series,2001 Awards,The Drew Carey Show,,"John Fuller, (editor)"
Outstanding Multi-Camera Picture Editing for a Series,2001 Awards,Will & Grace,,"Peter Chakos, (editor)"
Outstanding Multi-Camera Sound Mixing for a Series or a Special,2001 Awards,Everybody Loves Raymond,Winner,"Brentley Walton, (production mixer),, ,Doug Gray, (re-recording mixer),, ,Anthony Constantini, (re-recording mixer),, ,Rick Himot, (re-recording mixer)"
Outstanding Multi-Camera Sound Mixing for a Series or a Special,2001 Awards,Frasier,,"Dana Mark McClure, (production mixer),, ,Thomas J. Huth, (re-recording mixer),, ,Andre Caporaso, (re-recording mixer),, ,Robert Douglass, (re-recording mixer)"
Outstanding Multi-Camera Sound Mixing for a Series or a Special,2001 Awards,The Drew Carey Show,,"Klaus Landsberg, (production mixer)"
"Outstanding Music Composition for a Miniseries, Movie or a Special (Dramatic Underscore)",2001 Awards,For Love or Country: The Arturo Sandoval Story,Winner,"Arturo Sandoval, (composer)"
"Outstanding Music Composition for a Miniseries, Movie or a Special (Dramatic Underscore)",2001 Awards,Bailey's Mistake,,"Mason Daring, (composer)"
"Outstanding Music Composition for a Miniseries, Movie or a Special (Dramatic Underscore)",2001 Awards,Haven,,"Lawrence Shragge, (composer)"
"Outstanding Music Composition for a Miniseries, Movie or a Special (Dramatic Underscore)",2001 Awards,"Jackie, Ethel, Joan: The Women of Camelot",,"Martin Davich, (composer)"
"Outstanding Music Composition for a Miniseries, Movie or a Special (Dramatic Underscore)",2001 Awards,Papa's Angels,,"Velton Ray Bunch, (composer)"
Outstanding Music Composition for a Series (Dramatic Underscore),2001 Awards,Star Trek: Voyager,Winner,"Jay Chattaway, (composer)"
Outstanding Music Composition for a Series (Dramatic Underscore),2001 Awards,Star Trek: Voyager,,"Dennis McCarthy, (composer)"
Outstanding Music Composition for a Series (Dramatic Underscore),2001 Awards,The Simpsons,,"Alf Clausen, (composer)"
Outstanding Music Composition for a Series (Dramatic Underscore),2001 Awards,The West Wing,,"W.G. Snuffy Walden, (composer)"
Outstanding Music Composition for a Series (Dramatic Underscore),2001 Awards,Xena: Warrior Princess,,"Joseph LoDuca, (composer)"
Outstanding Music Direction,2001 Awards,Timeless: Live in Concert,Winner,"Marvin Hamlisch, (music director)"
Outstanding Music Direction,2001 Awards,Christmas in Washington,,"Ian Fraser, (music director)"
Outstanding Music Direction,2001 Awards,Great Performances,,"Paul Gemignani, (music director)"
Outstanding Music Direction,2001 Awards,South Pacific,,"Paul Bogaev, (music director)"
Outstanding Music Direction,2001 Awards,The Kennedy Center Honors: A Celebration of the Performing Arts,,"Elliot Lawrence, (music director)"
Outstanding Music and Lyrics,2001 Awards,Yesterday's Children,Winner,"Patrick Williams, (composer/lyricist)"
Outstanding Music and Lyrics,2001 Awards,AFI Life Achievement Award: A Tribute to Barbra Streisand,,"Marvin Hamlisch, (music),, ,Alan Bergman, (lyric),, ,Marilyn Bergman, (lyric)"
Outstanding Music and Lyrics,2001 Awards,Dancing in September,,"Mark Sparks, (composer),, ,Sy Smith, (lyricist)"
Outstanding Music and Lyrics,2001 Awards,Gary & Mike,,"Greg O'Connor, (composer),, ,Fax Bahr, (lyricist),, ,Adam Small, (lyricist),, ,Howard Gewirtz, (lyricist)"
Outstanding Music and Lyrics,2001 Awards,Robert Klein: Child in His 50's,,"Robert Klein, (composer/lyricist),, ,Bob Stein, (composer/lyricist)"
Outstanding Non-Fiction Program (Reality),2001 Awards,American High,Winner,"R.J. Cutler, (executive producer),, ,Erwin More, (executive producer),, ,Brian Medavoy, (executive producer),, ,Cheryl Stanley, (executive producer),, ,Dan Partland, (supervising producer),, ,Rich Bye, (producer),, ,Molly O'Brien, (producer),, ,Jonathan Chinn, (producer),, ,Nick Doob, (producer),, ,Jonathan Mednick, (producer)"
Outstanding Non-Fiction Program (Reality),2001 Awards,E! True Hollywood Story,,"Jeffrey Shore, (executive producer),, ,Robert Bentley, (supervising producer),, ,Eric Shepard, (producer)"
Outstanding Non-Fiction Program (Reality),2001 Awards,Taxicab Confessions,,"Harry Gantz, (producer/director),, ,Joe Gantz, (producer/director)"
Outstanding Non-Fiction Program (Reality),2001 Awards,The Awful Truth,,"Michael Moore, (host/writer/director/executive producer),, ,Kathleen Glynn, (executive producer),, ,Michael Donovan, (executive producer),, ,Dave Hamilton, (co-executive producer),, ,Charlie Siskel, (supervising producer),, ,Tia Lessin, (supervising producer),, ,Rob Huebel, (producer),, ,Marc Henry Johnson, (producer),, ,Nick McKinney, (producer)"
Outstanding Non-Fiction Program (Reality),2001 Awards,Trauma: Life in the E.R.,,"Liane Thompson, (executive producer),, ,Stephen H. Schwartz, (executive producer),, ,Michael Selditch, (producer)"
Outstanding Non-Fiction Program (Special Class),2001 Awards,Survivor,Winner,"Mark Burnett, (executive producer),, ,Charlie Parsons, (executive producer),, ,Craig Piligian, (co-executive producer),, ,Scott Messick, (supervising producer),, ,Tom Shelly, (supervising producer),, ,Maria Baltazzi, (producer),, ,Jay Bienstock, (producer),, ,John Feist, (producer),, ,Teri Kennedy, (producer),, ,Jeff Probst, (host)"
Outstanding Non-Fiction Program (Special Class),2001 Awards,Bands on the Run,,"Jane Lipsitz, (executive producer),, ,Lauren Zalaznick, (executive producer),, ,Dan Cutforth, (executive producer),, ,Eliot Goldberg, (supervising producer),, ,Julio Kollerbohm, (supervising producer),, ,Craig Borders, (director)"
Outstanding Non-Fiction Program (Special Class),2001 Awards,Eco-Challenge Borneo,,"Mark Burnett, (executive producer),, ,Lisa Hennessy, (co-executive producer),, ,Brady Connell, (supervising producer),, ,Maria Baltazzi, (producer),, ,Jay Bienstock, (producer),, ,Morgan Elliott, (producer),, ,John Feist, (producer),, ,Tim Powell, (producer)"
Outstanding Non-Fiction Program (Special Class),2001 Awards,Junkyard Wars,,"Cathy Rogers, (executive producer/host),, ,Alexandra Middendorf, (executive producer),, ,Rupert Parker, (producer),, ,Nathaniel Grouille, (producer),, ,George Gray, (host)"
Outstanding Non-Fiction Program (Special Class),2001 Awards,Road Rules,,"Mary-Ellis Bunim, (executive producer),, ,Jonathan Murray, (executive producer),, ,Bruce Toms, (producer),, ,Rick Telles, (director)"
Outstanding Non-Fiction Series,2001 Awards,American Masters,Winner,"Susan Lacy, (executive producer),, ,Pamela Mason Wagner, (producer/director),, ,Thomas Wagner, (producer/writer),, ,Tamar Hacker, (producer)"
Outstanding Non-Fiction Series,2001 Awards,Behind the Music,,"George Moll, (executive producer),, ,Jeff Gaspin, (executive producer),, ,Gay Rosenthal, (executive producer),, ,Allie Brown Torgan, (producer),, ,Paul Gallagher, (supervising producer),, ,Paul Barrosse, (supervising producer)"
Outstanding Non-Fiction Series,2001 Awards,Biography,,"CarolAnne Dolan, (executive producer),, ,Susan E. Leventhal, (executive producer),, ,Jonathan Talmadge, (producer),, ,Maryellen Cox, (supervising producer),, ,Harry Smith, (host)"
Outstanding Non-Fiction Series,2001 Awards,Inside the Actors Studio,,"James Lipton, (executive producer/writer/host),, ,Michael Kostel, (producer),, ,Jeff Wurtz, (director),, ,John Servidio, (producer),, ,Frances Berwick, (executive producer for bravo),, ,Christian Barcellos, (executive producer for bravo),, ,Vienna Steiner, (executive producer for bravo)"
Outstanding Non-Fiction Series,2001 Awards,Jazz,,"Ken Burns, (producer/director),, ,Lynn Novick, (producer),, ,Geoffrey C. Ward, (writer),, ,Keith David, (narrator)"
Outstanding Non-Fiction Special,2001 Awards,Scottsboro: An American Tragedy,Winner,"Barak Goodman, (producer/director/writer),, ,Daniel Anker, (producer/co-director),, ,Margaret Drain, (executive producer),, ,Mark Samels, (supervising producer)"
Outstanding Non-Fiction Special,2001 Awards,Dwarfs: Not a Fairy Tale,,"Lisa Abelow Hedley, (producer/director),, ,Bonnie Strauss, (producer/director),, ,Sheila Nevins, (executive producer),, ,Nancy Abraham, (supervising producer)"
Outstanding Non-Fiction Special,2001 Awards,Egypt Beyond the Pyramids,,"Nancy Dubuc, (executive producer),, ,Craig Haffner, (executive producer),, ,Donna E. Lusitana, (executive producer),, ,David de Vries, (producer/director/writer),, ,Peter Woodward, (host),, ,Raymond Bridgers, (supervising producer)"
Outstanding Non-Fiction Special,2001 Awards,Half Past Autumn: The Life and Works of Gordon Parks,,"Cecil Cox, (executive producer),, ,Sheila Nevins, (executive producer),, ,Craig Laurence Rice, (executive producer/director),, ,St. Clair Bourne, (producer),, ,Denzel Washington, (producer),, ,Jacqueline Glover, (supervising producer),, ,Lisa Heller, (supervising producer),, ,Lou Potter, (writer)"
Outstanding Non-Fiction Special,2001 Awards,Living Dolls: The Making of a Child Beauty Queen,,"Sheila Nevins, (executive producer),, ,Nancy Abraham, (supervising producer),, ,Linda Otto, (producer),, ,Shari Cookson, (producer/director/writer),, ,Jean Guest, (producer)"
Outstanding Picture Editing for Non-Fiction Programming,2001 Awards,Living Dolls: The Making of a Child Beauty Queen,Winner,"Charlton McMillan, (editor)"
Outstanding Picture Editing for Non-Fiction Programming,2001 Awards,Dwarfs: Not a Fairy Tale,,"Geof Bartz, (editor)"
Outstanding Picture Editing for Non-Fiction Programming,2001 Awards,Half Past Autumn: The Life and Works of Gordon Parks,,"Sam Pollard, (editor)"
Outstanding Picture Editing for Non-Fiction Programming,2001 Awards,Jazz,,"Erik Ewers, (editor),, ,Paul Barnes, (supervising editor)"
Outstanding Picture Editing for Non-Fiction Programming,2001 Awards,Survivor,,"Brian Barefoot, (editor),, ,Jonathon Braun, (editor),, ,Jeannette Christensen, (editor),, ,Mitchell Danton, (editor),, ,Sean Foley, (editor),, ,Claudia Hoover, (editor),, ,Ivan Ladizinsky, (editor),, ,Bob Mathews, (editor),, ,Craig E. Serling, (editor),, ,Chris Simpson, (editor),, ,Rod C. Spence, (editor)"
"Outstanding Single Camera Picture Editing for a Miniseries, Movie or a Special",2001 Awards,Wit,Winner,"John Bloom, (editor)"
"Outstanding Single Camera Picture Editing for a Miniseries, Movie or a Special",2001 Awards,61*,,"Michael Jablow, (editor)"
"Outstanding Single Camera Picture Editing for a Miniseries, Movie or a Special",2001 Awards,Anne Frank: The Whole Story,,"Christopher Rouse, (editor)"
"Outstanding Single Camera Picture Editing for a Miniseries, Movie or a Special",2001 Awards,Conspiracy,,"Peter Zinner, (editor)"
"Outstanding Single Camera Picture Editing for a Miniseries, Movie or a Special",2001 Awards,Life with Judy Garland: Me and My Shadows,,"Dody Dorn, (editor)"
Outstanding Single Camera Picture Editing for a Series,2001 Awards,The West Wing,Winner,"Bill Johnson, (editor)"
Outstanding Single Camera Picture Editing for a Series,2001 Awards,CSI: Crime Scene Investigation,,"Alex Mackie, (editor),, ,Alec Smight, (editor)"
Outstanding Single Camera Picture Editing for a Series,2001 Awards,The Practice,,"Susanne Malles, (editor)"
Outstanding Single Camera Picture Editing for a Series,2001 Awards,The Sopranos,,"Sidney Wolinsky, (editor)"
Outstanding Single Camera Picture Editing for a Series,2001 Awards,The Sopranos,,"Conrad M. Gonzalez, (editor)"
Outstanding Single Camera Sound Mixing for a Miniseries or a Movie,2001 Awards,Nuremberg,Winner,"Lou Solakofski, (re-recording mixer),, ,Orest Sushko, (re-recording mixer),, ,Ian Rankin, (re-recording mixer)"
Outstanding Single Camera Sound Mixing for a Miniseries or a Movie,2001 Awards,61*,,"Jeff Wexler, (production mixer),, ,Matthew Iadarola, (re-recording mixer),, ,Gary Gegan, (re-recording mixer),, ,Gary Coppola, (re-recording mixer)"
Outstanding Single Camera Sound Mixing for a Miniseries or a Movie,2001 Awards,Conspiracy,,"Peter Glossop, (production mixer),, ,John Hayward, (re-recording mixer),, ,Richard Pryke, (re-recording mixer),, ,Kevin Tayler, (re-recording mixer)"
Outstanding Single Camera Sound Mixing for a Miniseries or a Movie,2001 Awards,Hornblower: Mutiny,,"Colin Martin, (dubbing mixer),, ,Rudi Buckle, (production mixer)"
Outstanding Single Camera Sound Mixing for a Miniseries or a Movie,2001 Awards,South Pacific,,"Guntis Sics, (production mixer),, ,Rick Ash, (re-recording mixer),, ,Joe Earle, (re-recording mixer),, ,Joel Moss, (re-recording mixer)"
Outstanding Single Camera Sound Mixing for a Series,2001 Awards,The West Wing,Winner,"Mark Weingarten, (production mixer),, ,Gary D. Rogers, (re-recording mixer),, ,Dan Hiland, (re-recording mixer)"
Outstanding Single Camera Sound Mixing for a Series,2001 Awards,ER,,"James Clark, (production mixer),, ,Michael Jiron, (re-recording mixer),, ,Dave Concors, (re-recording mixer),, ,Allen L. Stone, (re-recording mixer)"
Outstanding Single Camera Sound Mixing for a Series,2001 Awards,Law & Order,,"Richard Murphy, (production mixer),, ,Bill Nicholson, (re-recording mixer),, ,Thomas Meloeny, (re-recording mixer)"
Outstanding Single Camera Sound Mixing for a Series,2001 Awards,The Practice,,"Clark King, (production mixer),, ,David John West, (re-recording mixer),, ,Eric Clopein, (re-recording mixer),, ,David Dondorf, (re-recording mixer)"
Outstanding Single Camera Sound Mixing for a Series,2001 Awards,The Sopranos,,"Mathew Price, (production mixer),, ,Kevin Patrick Burns, (re-recording mixer),, ,Todd Orr, (re-recording mixer),, ,Fred Tator, (re-recording mixer)"
"Outstanding Sound Editing for a Miniseries, Movie or a Special",2001 Awards,61*,Winner,"Robert Grieve, (supervising sound editor),, ,Scott M. Silvey, (sound effects editor),, ,Meg Taylor, (dialogue editor),, ,Wayne Griffin, (dialogue editor),, ,Kimberly Harris, (adr editor),, ,Stephanie Lowry, (music editor),, ,Richard Partlow, (foley artist),, ,Ellen Heuer, (foley artist)"
"Outstanding Sound Editing for a Miniseries, Movie or a Special",2001 Awards,Anne Frank: The Whole Story,,"John Benson, (supervising sound editor),, ,Walter Michael Bost, (supervising sound editor),, ,Michael Babcock, (sound effects editor),, ,Erik Aadahl, (sound effects editor),, ,Andrew Ellerd, (sound effects editor),, ,Jeff Sawyer, (sound effects editor),, ,David Beadle, (dialogue editor),, ,Sonya Henry, (dialogue editor),, ,Helen Luttrell, (dialogue editor),, ,Ralph Osborn, (dialogue editor),, ,Patrick Hogan, (dialogue editor),, ,Gretchen Thoma, (foley artist),, ,Timothy Pearson, (foley artist)"
"Outstanding Sound Editing for a Miniseries, Movie or a Special",2001 Awards,Conspiracy,,"Christopher Ackland, (supervising sound editor),, ,Gillian Dodders, (dialogue editor),, ,Alan Paley, (dialogue editor),, ,Felicity Cottrell, (foley artist),, ,Jason Swanscott, (foley artist)"
"Outstanding Sound Editing for a Miniseries, Movie or a Special",2001 Awards,Dune,,"Jay Wilkinson, (supervising sound editor),, ,Erik Aadahl, (sound effects editor),, ,Bruce Tanis, (sound effects editor),, ,Victor Iorillo, (sound effects editor),, ,Andrew Ellerd, (sound effects editor),, ,Bob Newlan, (supervising dialogue editor),, ,Ulrika Akander, (dialogue editor),, ,David Grecu, (dialogue editor),, ,Sonya Henry, (dialogue/adr editor),, ,David Beadle, (dialogue/adr editor),, ,Jeff Rosen, (dialogue/adr editor),, ,Larry Goeb, (dialogue/adr editor),, ,R.J. Palmer, (supervising adr editor),, ,Helen Luttrell, (adr editor),, ,Patrick Hogan, (adr editor),, ,Joshua Winget, (music editor),, ,Dale W. Perry, (foley artist)"
"Outstanding Sound Editing for a Miniseries, Movie or a Special",2001 Awards,Nuremberg,,"Paul Shikata, (sound effects editor),, ,Richard Cadger, (dialogue editor),, ,Ronayne Higginson, (adr editor),, ,Donna Powell, (foley artist)"
Outstanding Sound Editing for a Non-Fiction Program,2001 Awards,Allosaurus: A Walking with Dinosaurs Special,Winner,"Andrew Sherriff, (sound editor),, ,Simon Gotel, (sound editor),, ,Ashley Bates, (sound editor)"
Outstanding Sound Editing for a Non-Fiction Program,2001 Awards,Jazz,,"Ira Spiegel, (sound supervisor),, ,Dan Korintus, (sound editor),, ,Bruce Kitzmeyer, (sound editor),, ,Jacob Ribicoff, (music editor)"
Outstanding Sound Editing for a Non-Fiction Program,2001 Awards,Living Dolls: The Making of a Child Beauty Queen,,"Charlton McMillan, (sound editor)"
Outstanding Sound Editing for a Non-Fiction Program,2001 Awards,Shooting War: World War II Combat Cameramen,,"Al Decker, (sound supervisor),, ,Mark Korba, (sound editor),, ,Michael Marion, (sound editor),, ,Mark Linden, (sound editor),, ,Tara A. Paul, (sound editor),, ,Bryan McKenzie, (sound editor),, ,Joan Rowe, (foley artist)"
Outstanding Sound Editing for a Non-Fiction Program,2001 Awards,Trauma: Life in the E.R.,,"Chuck Hammer, (music editor),, ,Matthew Barbato, (sound editor),, ,Benny Mouthon, (sound editor)"
Outstanding Sound Editing for a Series,2001 Awards,ER,Winner,"Walter Newman, (supervising sound editor),, ,Darren Wright, (sound editor),, ,Rick Hromadka, (sound editor),, ,David Werntz, (sound editor),, ,Constance A. Kazmer, (dialogue editor),, ,Lou Kleinman, (dialogue editor),, ,Darleen Stoker, (dialogue editor),, ,Thomas A. Harris, (adr editor),, ,Sharyn Gersh, (music editor),, ,Casey J. Crabtree, (foley artist),, ,Michael Crabtree, (foley artist)"
Outstanding Sound Editing for a Series,2001 Awards,CSI: Crime Scene Investigation,,"Mace Matiosian, (supervising sound editor),, ,David F. Van Slyke, (sound effects editor),, ,Jivan Tahmizian, (dialogue editor),, ,Ruth Adelman, (adr supervisor),, ,Stan Jones, (music editor),, ,Zane D. Bruce, (foley artist),, ,Joseph T. Sabella, (foley artist)"
Outstanding Sound Editing for a Series,2001 Awards,Star Trek: Voyager,,"Bill Wistrom, (supervising sound editor),, ,James Wolvington, (supervising sound effects editor),, ,Ashley Harvey, (sound editor),, ,Masanobu 'Tomi' Tomita, (sound editor),, ,Dale Chaloukian, (sound editor),, ,Gerry Sackman, (music editor)"
Outstanding Sound Editing for a Series,2001 Awards,The Fugitive,,"Michael E. Lawshe, (supervising sound editor),, ,Timothy A. Cleveland, (sound effects editor),, ,Rick Camara, (sound effects editor),, ,Otis Van Osten, (sound effects editor),, ,David M. Horton, (sound effects editor),, ,Bruce M. Honda, (dialogue editor),, ,Jessica Goodwin, (dialogue editor),, ,Eric Hertsguaard, (dialogue editor),, ,Nancie Araki, (dialogue editor),, ,Chris McGeary, (music editor),, ,Casey J. Crabtree, (foley artist),, ,Michael Crabtree, (foley artist)"
Outstanding Sound Editing for a Series,2001 Awards,Third Watch,,"Walter Newman, (supervising sound editor),, ,John F. Reynolds, (adr editor),, ,Rick Hromadka, (sound editor),, ,Darren Wright, (sound editor),, ,David Werntz, (sound editor),, ,Marc Mailand, (sound editor),, ,Darleen Stoker, (dialogue editor),, ,Constance A. Kazmer, (dialogue editor),, ,Lou Kleinman, (dialogue editor),, ,Allan K. Rosen, (music editor),, ,Casey J. Crabtree, (foley artist),, ,Michael Crabtree, (foley artist)"
Outstanding Sound Mixing for a Non-Fiction Program,2001 Awards,Survivor,Winner,"Terrance Dwyer, (sound mixer)"
Outstanding Sound Mixing for a Non-Fiction Program,2001 Awards,Behind the Music,,"Earl Martin, (sound mixer),, ,Richard Gray, (sound mixer)"
Outstanding Sound Mixing for a Non-Fiction Program,2001 Awards,Jazz,,"Dominick Tavella, (sound mixer)"
Outstanding Sound Mixing for a Non-Fiction Program,2001 Awards,Living Dolls: The Making of a Child Beauty Queen,,"John McCormick, (production mixer),, ,Mitch Dorf, (sound mixer)"
Outstanding Sound Mixing for a Non-Fiction Program,2001 Awards,The Beatles Revolution,,"Ken Hahn, (sound mixer),, ,David Jaunai, (sound mixer),, ,Ashley Howe, (sound mixer)"
Outstanding Sound Mixing for a Variety or Music Series or Special,2001 Awards,The 73rd Annual Academy Awards,Winner,"Ed Greene, (production mixer),, ,Thomas Vicari, (orchestra mixer),, ,Robert Douglass, (sweetener)"
