,finalist,year,winner_Nominee,item_award,award_description
13443,Don Cheadle,2005,Winner,Black Movie Award,Outstanding Motion Picture
13444,Don Cheadle,2017,Nominee,Black Reel,"Outstanding Actor, Motion Picture"
13445,Don Cheadle,2020,Winner,Black Reel,"Outstanding Actor, Comedy Series"
13446,Don Cheadle,2001,Nominee,Blockbuster Entertainment Award,Favorite Supporting Actor - Comedy/Romance
13447,Don Cheadle,2008,Winner,Joel Siegel Award,
13448,Don Cheadle,2016,Nominee,Best Directorial Debut,
13449,Don Cheadle,1996,Nominee,CFCA Award,Best Supporting Actor
13450,Don Cheadle,2016,Nominee,Music Movies Competition,
13451,Don Cheadle,2013,Nominee,Critics' Choice TV Award,Best Actor in a Comedy Series
13452,Don Cheadle,2005,Nominee,DFWFCA Award,Best Actor
13453,Don Cheadle,2008,Nominee,Independent Spirit Award,Best Male Lead
13454,Don Cheadle,1998,Winner,FFCC Award,Best Ensemble Cast
13455,Don Cheadle,2016,Nominee,Audience Award,
13456,Don Cheadle,2006,Winner,Gold Derby Award,Ensemble Cast
13457,Don Cheadle,2007,Winner,Gotham Independent Film Award,Best Ensemble Performance
13458,Don Cheadle,2017,Winner,Grammy,Best Compilation Soundtrack For Visual Media
13459,Don Cheadle,2005,Winner,Hollywood Film Award,Ensemble of the Year
13460,Don Cheadle,2020,Nominee,Image Award,Outstanding Actor in a Comedy Series
13461,Don Cheadle,2005,Nominee,INOCA,Best Actor
13462,Don Cheadle,2012,Nominee,IFTA Award,Best International Actor
13463,Don Cheadle,2017,Nominee,Blimp Award,#SQUAD
13464,Don Cheadle,2006,Nominee,ALFS Award,Actor of the Year
13465,Don Cheadle,1995,Winner,LAFCA Award,Best Supporting Actor
13466,Don Cheadle,2008,Winner,Spirit of Independence Award,
13467,Don Cheadle,2005,Nominee,Grace Award,Most Inspiring Movie Acting
13468,Don Cheadle,2002,Nominee,MTV Movie Award,Best On-Screen Team
13469,Don Cheadle,2017,Nominee,Vision Award,Best Performance - Comedy
13470,Don Cheadle,1996,Winner,NSFC Award,Best Supporting Actor
13471,Don Cheadle,2004,Nominee,NYFCC Award,Best Actor
13472,Don Cheadle,2016,Nominee,NTFCA Award,Best Actor
13473,Don Cheadle,2020,Nominee,OFTA Television Award,Best Actor in a Comedy Series
13474,Don Cheadle,2005,Nominee,OFCS Award,Best Actor
13475,Don Cheadle,2016,Winner,Directors to Watch,
13476,Don Cheadle,2011,Nominee,People's Choice Award,Favorite On-Screen Team
13477,Don Cheadle,2004,Winner,Special Award,
13478,Don Cheadle,2013,Nominee,Satellite Award,"Best Actor in a Series, Comedy or Musical"
13479,Don Cheadle,2010,Nominee,Scream Award,Best Supporting Actor
13480,Don Cheadle,2014,Nominee,Actor,Outstanding Performance by a Male Actor in a Comedy Series
13481,Don Cheadle,2007,Winner,ShoWest Award,Male Star of the Year
13482,Don Cheadle,2007,Nominee,SLFCA Award,Best Actor
13483,Don Cheadle,2016,Nominee,Teen Choice Award,Choice Movie: Chemistry
13484,Don Cheadle,2004,Nominee,WAFCA Award,Best Actor
13485,Michael Douglas,1988,Winner,Oscar,Best Actor in a Leading Role
13486,Michael Douglas,2020,Nominee,Golden Globe,Best Performance by an Actor in a Television Series - Musical or Comedy
13487,Michael Douglas,2020,Nominee,Primetime Emmy,Outstanding Comedy Series
13488,Michael Douglas,2001,Nominee,BAFTA Film Award,Best Performance by an Actor in a Leading Role
13489,Michael Douglas,2016,Winner,Career Achievement Award,
13490,Michael Douglas,2016,Nominee,Saturn Award,Best Supporting Actor
13491,Michael Douglas,2013,Winner,EDA Special Mention Award,Most Egregious Age Difference Between the Leading Man and the Love Interest
13492,Michael Douglas,2009,Winner,Life Achievement Award,
13493,Michael Douglas,1976,Winner,Bambi,TV Series International
13494,Michael Douglas,2001,Nominee,Blockbuster Entertainment Award,Favorite Actor - Drama
13495,Michael Douglas,1976,Winner,Bravo Otto Germany,Best Male TV Star (TV-Star m)
13496,Michael Douglas,2019,Nominee,Critics Choice Award,Best Actor in a Comedy Series
13497,Michael Douglas,2001,Nominee,CFCA Award,Best Actor
13498,Michael Douglas,2014,Nominee,CinEuphoria,Best Duo - International Competition
13499,Michael Douglas,2009,Winner,President's Award,
13500,Michael Douglas,2013,Winner,Critics' Choice TV Award,Best Actor in a Movie/Miniseries
13501,Michael Douglas,2016,Winner,Honorary César,
13502,Michael Douglas,2010,Nominee,DFWFCA Award,Best Actor
13503,Michael Douglas,1990,Nominee,David,Best Foreign Actor (Migliore Attore Straniero)
13504,Michael Douglas,2013,Nominee,DFCC,Best Actor
13505,Michael Douglas,2010,Winner,Gala Tribute,
13506,Michael Douglas,2014,Winner,Dorian Award,TV Performance of the Year - Actor
13507,Michael Douglas,1980,Nominee,Genie,Best Performance by a Foreign Actor
13508,Michael Douglas,2019,Nominee,Gold Derby TV Award,Comedy Lead Actor
13509,Michael Douglas,1990,Winner,Golden Camera,Best International Actor
13510,Michael Douglas,2014,Winner,Guardian Film Award,Best Line of Dialogue
13511,Michael Douglas,1992,Winner,Man of the Year,
13512,Michael Douglas,2013,Winner,ICS Cannes Award,Best Actor
13513,Michael Douglas,2014,Nominee,IFTA Award,Best International Actor
13514,Michael Douglas,1988,Winner,Silver Ribbon,Best Foreign Actor (Migliore Attore Straniero)
13515,Michael Douglas,2014,Nominee,Jupiter Award,Best International Actor
13516,Michael Douglas,1987,Winner,KCFCC Award,Best Actor
13517,Michael Douglas,1998,Winner,Special Prize for Outstanding Contribution to World Cinema,
13518,Michael Douglas,2000,Nominee,Sierra Award,Best Actor
13519,Michael Douglas,2014,Nominee,ALFS Award,Actor of the Year
13520,Michael Douglas,2000,Winner,LAFCA Award,Best Actor
13521,Michael Douglas,2019,Winner,Crystal Nymph,
13522,Michael Douglas,1993,Nominee,MTV Movie Award,Best Male Performance
13523,Michael Douglas,2007,Winner,Career Achievement Award,
13524,Michael Douglas,1987,Nominee,NYFCC Award,Best Actor
13525,Michael Douglas,2020,Nominee,OFTA Television Award,Best Actor in a Comedy Series
13526,Michael Douglas,2001,Nominee,OFCS Award,Best Actor
13527,Michael Douglas,2011,Winner,Icon Award,
13528,Michael Douglas,1990,Nominee,People's Choice Award,Favorite Motion Picture Actor
13529,Michael Douglas,2009,Winner,Lifetime Achievement Award in Motion Pictures,
13530,Michael Douglas,2001,Nominee,PFCS Award,Best Actor in a Leading Role
13531,Michael Douglas,1986,Winner,Showmanship Award,Motion Picture
13532,Michael Douglas,1993,Nominee,Razzie Award,Worst Actor
13533,Michael Douglas,1997,Winner,Donostia Lifetime Achievement Award,
13534,Michael Douglas,1989,Nominee,Sant Jordi,Best Foreign Actor (Mejor Actor Extranjero)
13535,Michael Douglas,2012,Winner,Kirk Douglas Award for Excellence in Film,
13536,Michael Douglas,2019,Nominee,Satellite Award,"Best Actor in a Series, Comedy or Musical"
13537,Michael Douglas,2020,Nominee,Actor,Outstanding Performance by a Male Actor in a Comedy Series
13538,Michael Douglas,1979,Winner,Special Award,Star/Producer of the Year
13539,Michael Douglas,2001,Winner,SEFCA Award,Best Actor
13540,Michael Douglas,2004,Winner,Taormina Arte Award,
13541,Michael Douglas,2018,Winner,Star on the Walk of Fame,Motion Picture
13542,Michael Douglas,2010,Winner,Golden Icon Award,
13543,Hugh Bonneville,2012,Nominee,Golden Globe,Best Performance by an Actor in a Miniseries or Motion Picture Made for Television
13544,Hugh Bonneville,2013,Nominee,Primetime Emmy,Outstanding Lead Actor in a Drama Series
13545,Hugh Bonneville,2016,Nominee,BAFTA TV Award,Best Male Performance in a Comedy Programme
13546,Hugh Bonneville,2002,Winner,New Talent Award,Actor
13547,Hugh Bonneville,2012,Nominee,British Comedy Award,Best TV Comedy Actor
13548,Hugh Bonneville,2011,Nominee,Broadcasting Press Guild Award,Best Actor
13549,Hugh Bonneville,2020,Nominee,CinEuphoria,Best Ensemble - International Competition
13550,Hugh Bonneville,2002,Nominee,EFA People's Choice Award,Best European Actor
13551,Hugh Bonneville,2008,Winner,Jury Prize,Best Actor
13552,Hugh Bonneville,2013,Nominee,Golden Nymph,Outstanding Actor in a Drama Series
13553,Hugh Bonneville,2016,Nominee,OFTA Television Award,Best Actor in a Drama Series
13554,Hugh Bonneville,2011,Nominee,Satellite Award,Best Actor in a Miniseries or a Motion Picture Made for Television
13555,Hugh Bonneville,2017,Nominee,Actor,Outstanding Performance by an Ensemble in a Drama Series
13556,Kerry Washington,2017,Nominee,Golden Globe,Best Performance by an Actress in a Limited Series or Motion Picture Made for Television
13557,Kerry Washington,2020,Winner,Primetime Emmy,Outstanding Variety Special (Live)
13558,Kerry Washington,2014,Nominee,Hollywood Award,Best Actress
13559,Kerry Washington,2016,Nominee,ACCA TV,Best Actress in a TV Movie or Miniseries
13560,Kerry Washington,2016,Nominee,BET Award,Best Actress
13561,Kerry Washington,2017,Winner,Black Reel,"Outstanding Actress, TV Movie or Limited Series"
13562,Kerry Washington,2020,Nominee,Black Reel,"Outstanding Actress, TV Movie/Limited Series"
13563,Kerry Washington,2004,Winner,Breakthrough Award,
13564,Kerry Washington,2018,Winner,Spotlight Award,
13565,Kerry Washington,2016,Nominee,Critics' Choice TV Award,Best Actress in a Movie Made for Television or Limited Series
13566,Kerry Washington,2002,Nominee,Independent Spirit Award,Best Female Lead
13567,Kerry Washington,2014,Nominee,Dorian Award,TV Performance of the Year - Actress
13568,Kerry Washington,2015,Winner,Vanguard Award,
13569,Kerry Washington,2016,Nominee,Gold Derby TV Award,TV Movie/Mini Lead Actress
13570,Kerry Washington,2016,Winner,Woman of the Year,
13571,Kerry Washington,2020,Nominee,Image Award,"Outstanding Actress in a Television Movie, Limited-Series or Dramatic Special"
13572,Kerry Washington,2013,Nominee,MTV Movie Award,Best Kiss
13573,Kerry Washington,2017,Nominee,Vision Award,Best Performance - Drama
13574,Kerry Washington,2016,Nominee,OFTA Television Award,Best Actress in a Motion Picture or Limited Series
13575,Kerry Washington,2017,Nominee,People's Choice Award,Favorite Dramatic TV Actress
13576,Kerry Washington,2020,Nominee,PGA Award,Outstanding Producer of Streamed or Televised Motion Pictures
13577,Kerry Washington,2007,Winner,Razzie Award,Worst Screen Couple
13578,Kerry Washington,2012,Nominee,SDFCS Award,Best Ensemble Performance
13579,Kerry Washington,2017,Nominee,Satellite Award,Best Actress in a Miniseries or a Motion Picture Made for Television
13580,Kerry Washington,2017,Nominee,Actor,Outstanding Performance by a Female Actor in a Television Movie or Limited Series
13581,Kerry Washington,2016,Nominee,Teen Choice Award,Choice TV Actress: Drama
13582,Kerry Washington,2014,Nominee,TV Guide Award,Favorite Actress
13583,Kerry Washington,2002,Winner,MECCA Movie Award,Future of Film Award
13584,Kerry Washington,2013,Winner,WIN Award,Outstanding Actress Drama Series
13585,Jason Bateman,2019,Nominee,Golden Globe,Best Performance by an Actor in a Television Series - Drama
13586,Jason Bateman,2020,Nominee,Primetime Emmy,Outstanding Drama Series
13587,Jason Bateman,2017,Winner,Annie,Outstanding Achievement in Voice Acting in an Animated Feature Production
13588,Jason Bateman,2009,Nominee,ACCA,Best Cast Ensemble
13589,Jason Bateman,2017,Nominee,BTVA Feature Film Voice Acting Award,Best Vocal Ensemble in a Feature Film
13590,Jason Bateman,2019,Nominee,Critics Choice Award,Best Actor in a Comedy
13591,Jason Bateman,2010,Nominee,COFCA Award,Best Ensemble
13592,Jason Bateman,2010,Nominee,DFCS Award,Best Acting Ensemble
13593,Jason Bateman,2019,Nominee,DGA Award,Outstanding Directorial Achievement in Dramatic Series
13594,Jason Bateman,2020,Nominee,Gold Derby TV Award,Drama Actor
13595,Jason Bateman,2017,Winner,Blimp Award,Favorite Frenemies
13596,Jason Bateman,2014,Nominee,MTV Movie Award,Best Fight
13597,Jason Bateman,2019,Nominee,MCFCA Award,Best Comedy Film
13598,Jason Bateman,2020,Winner,OFTA Television Award,Best Actor in a Drama Series
13599,Jason Bateman,2017,Nominee,People's Choice Award,Favorite Animated Movie Voice
13600,Jason Bateman,2019,Nominee,PGA Award,"Outstanding Producer of Episodic Television, Drama"
13601,Jason Bateman,2018,Nominee,SDFCS Award,Best Comedic Performance
13602,Jason Bateman,2019,Nominee,Satellite Award,"Best Actor in a Series, Drama/Genre"
13603,Jason Bateman,2019,Winner,Actor,Outstanding Performance by a Male Actor in a Drama Series
13604,Jason Bateman,2014,Nominee,Audience Award,Festival Favorites
13605,Jason Bateman,2013,Nominee,Teen Choice Award,Choice Movie Actor: Comedy
13606,Jason Bateman,2005,Nominee,TCA Award,Individual Achievement in Comedy
13607,Jason Bateman,2004,Winner,Future Classic Award,
13608,Jason Bateman,2016,Nominee,Voice Arts Award,"Outstanding Motion Picture Animation, Best Voiceover"
13609,Jason Bateman,2017,Winner,Star on the Walk of Fame,Motion Picture
13610,Jason Bateman,2016,Nominee,WAFCA Award,Best Voice Performance
13611,Jason Bateman,1988,Nominee,Young Artist Award,Best Young Male Superstar in Television
13612,Robin Wright,2016,Nominee,Golden Globe,Best Performance by an Actress in a Television Series - Drama
13613,Robin Wright,2019,Nominee,Primetime Emmy,Outstanding Lead Actress in a Drama Series
13614,Robin Wright,1995,Nominee,Saturn Award,Best Supporting Actress
13615,Robin Wright,2009,Nominee,EDA Female Focus Award,Actress Defying Age and Ageism
13616,Robin Wright,2013,Winner,Best Actress,Fantastic Features
13617,Robin Wright,1994,Nominee,ACCA,Best Actress in a Supporting Role
13618,Robin Wright,2001,Nominee,Blockbuster Entertainment Award,Favorite Supporting Actress - Suspense
13619,Robin Wright,2006,Nominee,British Independent Film Award,Best Actress
13620,Robin Wright,2018,Nominee,Critics Choice Award,Best Actress in a Drama Series
13621,Robin Wright,2015,Nominee,Chlotrudis Award,Best Actress
13622,Robin Wright,2016,Nominee,Critics' Choice TV Award,Best Actress in a Drama Series
13623,Robin Wright,1988,Nominee,Daytime Emmy,Outstanding Ingenue in a Drama Series
13624,Robin Wright,2007,Nominee,Independent Spirit Award,Best Female Lead
13625,Robin Wright,2014,Nominee,Dorian Award,TV Performance of the Year - Actress
13626,Robin Wright,2017,Nominee,Gold Derby TV Award,Drama Lead Actress
13627,Robin Wright,2005,Nominee,Gotham Independent Film Award,Best Ensemble Performance
13628,Robin Wright,2014,Nominee,IGN Award,Best TV Actress
13629,Robin Wright,2005,Winner,Bronze Leopard,Best Actress
13630,Robin Wright,2018,Winner,Honorary Award of the Festival,Golden Star
13631,Robin Wright,2015,Nominee,Golden Nymph,Outstanding Actress in a Drama TV Series
13632,Robin Wright,2014,Winner,Best Actress,Graveyard Shift Competition
13633,Robin Wright,2017,Nominee,OFTA Television Award,Best Actress in a Drama Series
13634,Robin Wright,2017,Nominee,PGA Award,"Outstanding Producer of Episodic Television, Drama"
13635,Robin Wright,2007,Winner,Sant Jordi,Best Foreign Actress (Mejor Actriz Extranjera)
13636,Robin Wright,2016,Nominee,Satellite Award,"Best Actress in a Series, Drama"
13637,Robin Wright,2019,Nominee,Actor,Outstanding Performance by a Female Actor in a Drama Series
13638,Robin Wright,1997,Winner,Golden Space Needle Award,Best Actress
13639,Robin Wright,1999,Winner,Critics Award,Best Foreign Actress (Melhor Atriz Estrangeira)
13640,Robin Wright,1988,Winner,Soap Opera Digest Award,Outstanding Heroine: Daytime
13641,Robin Wright,2008,Nominee,World Soundtrack Award,Best Original Song Written for a Film
13642,Michelle Dockery,2013,Nominee,Golden Globe,Best Performance by an Actress in a Television Series - Drama
13643,Michelle Dockery,2018,Nominee,Primetime Emmy,Outstanding Lead Actress in a Limited Series or Movie
13644,Michelle Dockery,2020,Nominee,CinEuphoria,Best Ensemble - International Competition
13645,Michelle Dockery,2012,Nominee,Critics' Choice TV Award,Best Actress in a Drama Series
13646,Michelle Dockery,2018,Nominee,Gold Derby TV Award,Movie/Limited Series Actress
13647,Michelle Dockery,2015,Winner,Harper's Bazaar Award,Television Icon
13648,Michelle Dockery,2013,Winner,Huading Award,Best Global Actress in a Television Series
13649,Michelle Dockery,2012,Nominee,Golden Nymph,Outstanding Actress in a Drama Series
13650,Michelle Dockery,2016,Nominee,OFTA Television Award,Best Actress in a Drama Series
13651,Michelle Dockery,2012,Nominee,Satellite Award,"Best Actress in a Series, Drama"
13652,Michelle Dockery,2017,Nominee,Actor,Outstanding Performance by an Ensemble in a Drama Series
13653,Michelle Dockery,2018,Winner,Bronze Wrangler,Fictional Drama
13654,Ashley Jensen,2008,Nominee,Primetime Emmy,Outstanding Supporting Actress in a Miniseries or a Movie
13655,Ashley Jensen,2006,Nominee,BAFTA TV Award,Best Comedy Performance
13656,Ashley Jensen,2012,Nominee,Annie,Voice Acting in a Feature Production
13657,Ashley Jensen,2016,Nominee,BAFTA Scotland Award,Best Actress - Television
13658,Ashley Jensen,2013,Nominee,BTVA Feature Film Voice Acting Award,Best Vocal Ensemble in a Feature Film
13659,Ashley Jensen,2008,Nominee,British Comedy Award,Best Television Comedy Actress
13660,Ashley Jensen,2006,Nominee,Broadcasting Press Guild Award,Best Actress
13661,Ashley Jensen,2007,Nominee,Gold Derby TV Award,Ensemble of the Year
13662,Ashley Jensen,2006,Winner,Golden Nymph,Outstanding Actress - Comedy Series
13663,Ashley Jensen,2006,Winner,Golden Rose,Best Sitcom Actress
13664,Ashley Jensen,2008,Nominee,Actor,Outstanding Performance by an Ensemble in a Comedy Series
13665,David Morse,2008,Nominee,Primetime Emmy,Outstanding Supporting Actor in a Miniseries or a Movie
13666,David Morse,2009,Nominee,ACCA,Best Cast Ensemble
13667,David Morse,2013,Nominee,Canadian Screen Award,Performance by an Actor in a Leading Role
13668,David Morse,2010,Nominee,DFCS Award,Best Acting Ensemble
13669,David Morse,1996,Nominee,Independent Spirit Award,Best Supporting Male
13670,David Morse,2002,Nominee,Golden Horse Award,Best Supporting Actor
13671,David Morse,2009,Winner,Gotham Independent Film Award,Best Ensemble Performance
13672,David Morse,2011,Winner,Best Actor,
13673,David Morse,2015,Nominee,LAIFF November Award,Screenplay Features
13674,David Morse,2011,Nominee,Maverick Movie Award,Best Actor: Short
13675,David Morse,2008,Nominee,Golden Nymph,Outstanding Actor - Mini Series
13676,David Morse,2019,Nominee,OFTA Television Award,Best Ensemble in a Motion Picture or Limited Series
13677,Bob Balaban,2002,Nominee,Oscar,Best Picture
13678,Bob Balaban,2009,Nominee,Golden Globe,Best Miniseries or Motion Picture Made for Television
13679,Bob Balaban,2010,Nominee,Primetime Emmy,"Outstanding Directing for a Miniseries, Movie or a Dramatic Special"
13680,David Morse,2015,Winner,Silver Award,Best Screenplay
13681,David Morse,2003,Winner,FirstGlance Award,
13682,David Morse,2000,Nominee,Actor,Outstanding Performance by a Cast in a Theatrical Motion Picture
13683,David Morse,2009,Winner,WAFCA Award,Best Ensemble
13684,Bob Balaban,2002,Winner,Alexander Korda Award for Best British Film,
13685,Bob Balaban,2002,Nominee,Best Foreign Film Award,
13686,Bob Balaban,1995,Winner,Prix Tournage,USA
13687,Bob Balaban,2001,Nominee,ACCA,Best Cast Ensemble
13688,Bob Balaban,2002,Winner,Critics Choice Award,Best Acting Ensemble
13689,Bob Balaban,2013,Winner,COFCA Award,Best Ensemble
13690,Bob Balaban,1995,Nominee,Grand Special Prize,
13691,Bob Balaban,2010,Nominee,DGA Award,Outstanding Directorial Achievement in Movies for Television/Mini-Series
13692,Bob Balaban,2004,Winner,FFCC Award,Best Ensemble Cast
13693,Bob Balaban,2004,Nominee,Gold Derby Award,Ensemble Cast
13694,Bob Balaban,2012,Nominee,Gotham Independent Film Award,Best Ensemble Performance
13695,Bob Balaban,1994,Winner,Audience Award,Most Popular Film
13696,Bob Balaban,2002,Winner,OFCS Award,Best Ensemble
13697,Bob Balaban,2009,Nominee,PGA Award,Outstanding Producer of Long-Form Television
13698,Bob Balaban,2004,Nominee,PFCS Award,Best Ensemble Acting
13699,Bob Balaban,2002,Winner,Special Achievement Award,Outstanding Motion Picture Ensemble
13700,Bob Balaban,2006,Nominee,Actor,Outstanding Performance by a Cast in a Motion Picture
13701,Bob Balaban,2012,Nominee,SEFCA Award,Best Ensemble
13702,Jeff Daniels,2013,Nominee,Golden Globe,Best Performance by an Actor in a Television Series - Drama
13703,Jeff Daniels,2018,Winner,Primetime Emmy,Outstanding Supporting Actor in a Limited Series or Movie
13704,Jeff Daniels,2016,Nominee,Movies for Grownups Award,Best Supporting Actor
13705,Jeff Daniels,1991,Winner,Saturn Award,Best Actor
13706,Jeff Daniels,2019,Winner,Best of Show,Feature Film
13707,Jeff Daniels,2015,Nominee,ACCA,Best Cast Ensemble
13708,Jeff Daniels,2019,Winner,Best Feature Film,Feature Film
13709,Jeff Daniels,2018,Nominee,Critics Choice Award,Best Actor in a Movie Made for Television or Limited Series
13710,Jeff Daniels,1994,Nominee,CFCA Award,Best Supporting Actor
13711,Jeff Daniels,2006,Winner,Chlotrudis Award,Best Supporting Actor
13712,Jeff Daniels,2002,Nominee,Chainsaw Award,Best Actor
13713,Jeff Daniels,1992,Winner,International Fantasy Film Award,Best Actor
13714,Jeff Daniels,2006,Nominee,Independent Spirit Award,Best Male Lead
13715,Jeff Daniels,2018,Nominee,Gold Derby TV Award,Movie/Limited Series Supporting Actor
13716,Jeff Daniels,2005,Winner,Gotham Independent Film Award,Best Ensemble Performance
13717,Jeff Daniels,2019,Winner,Best Actor,Best Actor
13718,Jeff Daniels,2008,Winner,Honorary Lady Harimaguada,
13719,Jeff Daniels,2007,Nominee,ALFS Award,Actor of the Year
13720,Jeff Daniels,1995,Nominee,MTV Movie Award,Best On-Screen Duo
13721,Jeff Daniels,2019,Winner,Best Actor,Best Actor
13722,Jeff Daniels,2006,Nominee,NSFC Award,Best Actor
13723,Jeff Daniels,2019,Winner,Best Actor,Best Actor
13724,Jeff Daniels,2018,Winner,OFTA Television Award,Best Supporting Actor in a Motion Picture or Limited Series
13725,Jeff Daniels,2003,Nominee,PFCS Award,Best Acting Ensemble
13726,Jeff Daniels,2019,Winner,Festival Prize,Outstanding Feature Film
13727,Jeff Daniels,2019,Nominee,Satellite Award,Best Actor in a Miniseries & Limited Series or a Motion Picture Made for Television
13728,Jeff Daniels,2018,Nominee,Actor,Outstanding Performance by a Male Actor in a Television Movie or Limited Series
13729,Jeff Daniels,2019,Winner,Film Jury Award,Best Actor Feature Film
13730,Jeff Daniels,2015,Nominee,Teen Choice Award,Choice Movie: Chemistry
13731,Jeff Daniels,2002,Winner,Audience Award,
13732,Jeff Daniels,2002,Winner,Independent Career Achievement Award,
13733,Jeff Daniels,2005,Nominee,VVFP Award,Best Performance
13734,Tom Bergeron,2016,Nominee,Primetime Emmy,Outstanding Host for a Reality or Reality-Competition Program
13735,Tom Bergeron,2018,Nominee,Critics Choice Award,Best Reality Show Host
13736,Tom Bergeron,2016,Nominee,Critics' Choice TV Award,Best Reality Show Host
13737,Tom Bergeron,2003,Nominee,Daytime Emmy,Outstanding Game Show Host
13738,Tom Bergeron,2016,Nominee,OFTA Television Award,Best Individual Host or Panelist in a Reality or Non-Fiction Program
13739,Ryan Seacrest,2016,Nominee,Primetime Emmy,Outstanding Host for a Reality or Reality-Competition Program
13740,Ryan Seacrest,2009,Nominee,Astra Award,Favourite International Personality or Actor
13741,Ryan Seacrest,2013,Nominee,Critics' Choice TV Award,Best Reality Host
13742,Ryan Seacrest,2020,Nominee,Daytime Emmy,Outstanding Entertainment Talk Show Host
13743,Ryan Seacrest,2019,Nominee,Gold Derby TV Award,Reality Host of the Decade
13744,Ryan Seacrest,2016,Nominee,OFTA Television Award,Best Individual Host or Panelist in a Reality or Non-Fiction Program
13745,Ryan Seacrest,2014,Nominee,Teen Choice Award,Choice TV Personality: Male
13746,Ryan Seacrest,2005,Winner,Star on the Walk of Fame,Radio
13747,Stephen Dillane,2008,Nominee,Primetime Emmy,Outstanding Supporting Actor in a Miniseries or a Movie
13748,Stephen Dillane,2009,Winner,BAFTA TV Award,Best Actor
13749,Stephen Dillane,1998,Winner,AFI Award,Best Performance by an Actor in a Leading Role in a Television Drama
13750,Stephen Dillane,2002,Winner,ACCA,Best Cast Ensemble
13751,Stephen Dillane,2003,Nominee,Critics Choice Award,Best Acting Ensemble
13752,Stephen Dillane,2020,Winner,CinEuphoria,Merit - Honorary Award
13753,Stephen Dillane,2010,Nominee,Gold Derby TV Award,TV Movie/Mini Supporting Actor of the Decade
13754,Stephen Dillane,2005,Nominee,Gotham Independent Film Award,Best Ensemble Performance
13755,Stephen Dillane,2014,Winner,Emmy,Best Performance by an Actor
13756,Stephen Dillane,2004,Nominee,ALFS Award,British Supporting Actor of the Year
13757,Stephen Dillane,2008,Nominee,OFTA Television Award,Best Supporting Actor in a Motion Picture or Miniseries
13758,Stephen Dillane,2003,Nominee,PFCS Award,Best Acting Ensemble
13759,Stephen Dillane,2014,Nominee,RTS Television Award,Best Actor
13760,Stephen Dillane,2010,Winner,SDFCS Award,Best Ensemble Performance
13761,Stephen Dillane,2016,Nominee,Actor,Outstanding Performance by an Ensemble in a Drama Series
13762,Zeljko Ivanek,2008,Winner,Primetime Emmy,Outstanding Supporting Actor in a Drama Series
13763,Zeljko Ivanek,2017,Nominee,ACCA,Best Cast Ensemble
13764,Zeljko Ivanek,2012,Winner,BSFC Award,Best Ensemble Cast
13765,Zeljko Ivanek,2017,Winner,CIFCC Award,Best Ensemble Cast
13766,Zeljko Ivanek,2018,Winner,Golden Carp Film Award - International,Best Ensemble Performance
13767,Zeljko Ivanek,2018,Winner,Gold Derby Award,Ensemble Cast
13768,Zeljko Ivanek,2012,Winner,Hollywood Film Award,Ensemble of the Year
13769,Zeljko Ivanek,2018,Winner,OFTA Film Award,Best Ensemble
13770,Zeljko Ivanek,2012,Nominee,PFCS Award,Best Ensemble Acting
13771,Zeljko Ivanek,2012,Nominee,SDFCS Award,Best Ensemble Performance
13772,Zeljko Ivanek,2008,Nominee,Satellite Award,"Best Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television"
13773,Zeljko Ivanek,2018,Winner,Actor,Outstanding Performance by a Cast in a Motion Picture
13774,Heidi Klum,2018,Nominee,Primetime Emmy,Outstanding Host for a Reality or Reality-Competition Program
13775,Heidi Klum,2015,Winner,Bambi,Fashion
13776,Heidi Klum,2008,Nominee,German Television Award,Best Entertainment Program/Best Host in an Entertainment Program (Beste Unterhaltungssendung/Beste Moderation - Unterhaltung)
13777,Heidi Klum,2020,Nominee,Gold Derby TV Award,Reality Host
13778,Heidi Klum,2017,Nominee,OFTA Television Award,Best Individual Host or Panelist in a Reality or Non-Fiction Program
13779,Heidi Klum,2016,Nominee,PGA Award,Outstanding Producer of Competition Television
13780,Heidi Klum,2013,Nominee,Teen Choice Award,Choice TV Personality: Female
13781,Phylicia Rashad,2020,Nominee,Primetime Emmy,Outstanding Guest Actress in a Drama Series
13782,Phylicia Rashad,2011,Winner,Movies for Grownups Award,Best Supporting Actress
13783,Phylicia Rashad,2002,Nominee,AFI Award,Actor of the Year - Female - TV Movie or Mini-Series
13784,Phylicia Rashad,2016,Nominee,All Def Movie Award,Best Actress
13785,Phylicia Rashad,2013,Nominee,Black Reel,Network/Cable - Best Supporting Actress
13786,Phylicia Rashad,2020,Nominee,Black Reel,"Outstanding Guest Actress, Drama Series"
13787,Phylicia Rashad,1988,Nominee,ACE,Supporting Actress in a Movie or Miniseries
13788,Phylicia Rashad,2019,Nominee,Gold Derby TV Award,Drama Guest Actress
13789,Phylicia Rashad,2016,Nominee,Image Award,Outstanding Supporting Actress in a Motion Picture
13790,Phylicia Rashad,2001,Winner,Muse Award,
13791,Phylicia Rashad,2020,Winner,OFTA TV Hall of Fame,Actors and Actresses
13792,Phylicia Rashad,1990,Nominee,People's Choice Award,Favorite Female TV Performer
13793,Phylicia Rashad,2008,Nominee,Satellite Award,Best Actress in a Miniseries or a Motion Picture Made for Television
